BMI,GEO,UNIT,TIME,ISCED11,SEX,AGE,Value,Flag and Footnotes
Underweight,European Union - 27 countries (from 2020),Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,3,
Normal,European Union - 27 countries (from 2020),Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,39.8,
Obese,European Union - 27 countries (from 2020),Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,17.3,
Underweight,European Union - 28 countries (2013-2020),Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,:,
Normal,European Union - 28 countries (2013-2020),Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,:,
Obese,European Union - 28 countries (2013-2020),Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,:,
Underweight,Belgium,Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,3.2,
Normal,Belgium,Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,43.4,
Obese,Belgium,Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,18.2,
Underweight,Bulgaria,Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,2.6,
Normal,Bulgaria,Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,41.9,
Obese,Bulgaria,Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,12.2,
Underweight,Czechia,Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,1.8,
Normal,Czechia,Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,54.9,
Obese,Czechia,Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,16.1,
Underweight,Denmark,Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,3.7,
Normal,Denmark,Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,48.2,
Obese,Denmark,Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,18.9,
Underweight,Germany (until 1990 former territory of the FRG),Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,4.8,
Normal,Germany (until 1990 former territory of the FRG),Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,42.5,
Obese,Germany (until 1990 former territory of the FRG),Percentage,2019,"Less than primary, primary and lower secondary education (levels 0-2)",Males,Total,21.4,
