"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.1",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","37.5",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","17.7",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total",":",""
"Underweight","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.4",""
"Normal","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","42.1",""
"Obese","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","17.7",""
"Underweight","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.6",""
"Normal","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","33.4",""
"Obese","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","17.0",""
"Underweight","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.4",""
"Normal","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","26.8",""
"Obese","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","23.5",""
"Underweight","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.9",""
"Normal","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","36.7",""
"Obese","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","17.8",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.3",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","37.7",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","19.9",""
"Underweight","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.5",""
"Normal","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","35.9",""
"Obese","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","20.9",""
"Underweight","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","6.6",""
"Normal","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","31.7",""
"Obese","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","24.4",""
"Underweight","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.2",""
"Normal","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","36.4",""
"Obese","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","15.7",""
"Underweight","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.8",""
"Normal","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","41.5",""
"Obese","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","13.9",""
"Underweight","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","2.2",""
"Normal","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","53.0",""
"Obese","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","11.0",""
"Underweight","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.2",""
"Normal","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","25.2",""
"Obese","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","24.7",""
"Underweight","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.2",""
"Normal","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","47.6",""
"Obese","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","11.4",""
"Underweight","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.1",""
"Normal","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","42.3",""
"Obese","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","17.1",""
"Underweight","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.7",""
"Normal","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","39.0",""
"Obese","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","19.8",""
"Underweight","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.6",""
"Normal","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","33.7",""
"Obese","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","18.7",""
"Underweight","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","2.5",""
"Normal","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","32.6",""
"Obese","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","23.5",""
"Underweight","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.6",""
"Normal","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","29.7",""
"Obese","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","28.6",""
"Underweight","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.2",""
"Normal","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","35.7",""
"Obese","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","29.6",""
"Underweight","Netherlands","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.7",""
"Normal","Netherlands","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","43.5",""
"Obese","Netherlands","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","12.4",""
"Underweight","Austria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.0",""
"Normal","Austria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","36.3",""
"Obese","Austria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","20.1",""
"Underweight","Poland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.8",""
"Normal","Poland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","29.2",""
"Obese","Poland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","22.2",""
"Underweight","Portugal","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.8",""
"Normal","Portugal","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","43.2",""
"Obese","Portugal","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","13.3",""
"Underweight","Romania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.2",""
"Normal","Romania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","30.7",""
"Obese","Romania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","12.2",""
"Underweight","Slovenia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.7",""
"Normal","Slovenia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","24.7",""
"Obese","Slovenia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","28.5",""
