"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Females","Total","4.2",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Females","Total","51.2",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Females","Total","15.8",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Females","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Females","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Females","Total",":",""
"Underweight","Belgium","Percentage","2019","All ISCED 2011 levels ","Females","Total","4.5",""
"Normal","Belgium","Percentage","2019","All ISCED 2011 levels ","Females","Total","52.0",""
"Obese","Belgium","Percentage","2019","All ISCED 2011 levels ","Females","Total","15.2",""
"Underweight","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Females","Total","3.8",""
"Normal","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Females","Total","51.2",""
"Obese","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Females","Total","11.5",""
"Underweight","Czechia","Percentage","2019","All ISCED 2011 levels ","Females","Total","2.6",""
"Normal","Czechia","Percentage","2019","All ISCED 2011 levels ","Females","Total","48.1",""
"Obese","Czechia","Percentage","2019","All ISCED 2011 levels ","Females","Total","17.5",""
"Underweight","Denmark","Percentage","2019","All ISCED 2011 levels ","Females","Total","3.3",""
"Normal","Denmark","Percentage","2019","All ISCED 2011 levels ","Females","Total","54.3",""
"Obese","Denmark","Percentage","2019","All ISCED 2011 levels ","Females","Total","16.2",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Females","Total","3.7",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Females","Total","50.9",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Females","Total","18.5",""
"Underweight","Estonia","Percentage","2019","All ISCED 2011 levels ","Females","Total","3.2",""
"Normal","Estonia","Percentage","2019","All ISCED 2011 levels ","Females","Total","45.8",""
"Obese","Estonia","Percentage","2019","All ISCED 2011 levels ","Females","Total","22.9",""
"Underweight","Ireland","Percentage","2019","All ISCED 2011 levels ","Females","Total","27.8",""
"Normal","Ireland","Percentage","2019","All ISCED 2011 levels ","Females","Total","25.5",""
"Obese","Ireland","Percentage","2019","All ISCED 2011 levels ","Females","Total","26.0",""
"Underweight","Greece","Percentage","2019","All ISCED 2011 levels ","Females","Total","2.3",""
"Normal","Greece","Percentage","2019","All ISCED 2011 levels ","Females","Total","49.9",""
"Obese","Greece","Percentage","2019","All ISCED 2011 levels ","Females","Total","16.0",""
"Underweight","Spain","Percentage","2019","All ISCED 2011 levels ","Females","Total","3.6",""
"Normal","Spain","Percentage","2019","All ISCED 2011 levels ","Females","Total","51.6",""
"Obese","Spain","Percentage","2019","All ISCED 2011 levels ","Females","Total","14.8",""
"Underweight","France","Percentage","2019","All ISCED 2011 levels ","Females","Total","5.7",""
"Normal","France","Percentage","2019","All ISCED 2011 levels ","Females","Total","53.5",""
"Obese","France","Percentage","2019","All ISCED 2011 levels ","Females","Total","15.2",""
"Underweight","Croatia","Percentage","2019","All ISCED 2011 levels ","Females","Total","2.7",""
"Normal","Croatia","Percentage","2019","All ISCED 2011 levels ","Females","Total","39.7",""
"Obese","Croatia","Percentage","2019","All ISCED 2011 levels ","Females","Total","22.2",""
"Underweight","Italy","Percentage","2019","All ISCED 2011 levels ","Females","Total","6.2",""
"Normal","Italy","Percentage","2019","All ISCED 2011 levels ","Females","Total","57.6",""
"Obese","Italy","Percentage","2019","All ISCED 2011 levels ","Females","Total","10.4",""
"Underweight","Cyprus","Percentage","2019","All ISCED 2011 levels ","Females","Total","6.3",""
"Normal","Cyprus","Percentage","2019","All ISCED 2011 levels ","Females","Total","53.8",""
"Obese","Cyprus","Percentage","2019","All ISCED 2011 levels ","Females","Total","13.5",""
"Underweight","Latvia","Percentage","2019","All ISCED 2011 levels ","Females","Total","3.5",""
"Normal","Latvia","Percentage","2019","All ISCED 2011 levels ","Females","Total","41.0",""
