"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.6",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Males","Total","40.0",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Males","Total","16.3",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Males","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Males","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Males","Total",":",""
"Underweight","Belgium","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.7",""
"Normal","Belgium","Percentage","2019","All ISCED 2011 levels ","Males","Total","43.9",""
"Obese","Belgium","Percentage","2019","All ISCED 2011 levels ","Males","Total","16.6",""
"Underweight","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.0",""
"Normal","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Males","Total","36.3",""
"Obese","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Males","Total","15.1",""
"Underweight","Czechia","Percentage","2019","All ISCED 2011 levels ","Males","Total","0.5",""
"Normal","Czechia","Percentage","2019","All ISCED 2011 levels ","Males","Total","31.4",""
"Obese","Czechia","Percentage","2019","All ISCED 2011 levels ","Males","Total","21.2",""
"Underweight","Denmark","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.4",""
"Normal","Denmark","Percentage","2019","All ISCED 2011 levels ","Males","Total","43.3",""
"Obese","Denmark","Percentage","2019","All ISCED 2011 levels ","Males","Total","15.6",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.6",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Males","Total","39.3",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Males","Total","18.6",""
"Underweight","Estonia","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.6",""
"Normal","Estonia","Percentage","2019","All ISCED 2011 levels ","Males","Total","38.5",""
"Obese","Estonia","Percentage","2019","All ISCED 2011 levels ","Males","Total","19.1",""
"Underweight","Ireland","Percentage","2019","All ISCED 2011 levels ","Males","Total","7.1",""
"Normal","Ireland","Percentage","2019","All ISCED 2011 levels ","Males","Total","31.7",""
"Obese","Ireland","Percentage","2019","All ISCED 2011 levels ","Males","Total","25.6",""
"Underweight","Greece","Percentage","2019","All ISCED 2011 levels ","Males","Total","0.4",""
"Normal","Greece","Percentage","2019","All ISCED 2011 levels ","Males","Total","34.2",""
"Obese","Greece","Percentage","2019","All ISCED 2011 levels ","Males","Total","16.4",""
"Underweight","Spain","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.2",""
"Normal","Spain","Percentage","2019","All ISCED 2011 levels ","Males","Total","38.8",""
"Obese","Spain","Percentage","2019","All ISCED 2011 levels ","Males","Total","16.1",""
"Underweight","France","Percentage","2019","All ISCED 2011 levels ","Males","Total","2.8",""
"Normal","France","Percentage","2019","All ISCED 2011 levels ","Males","Total","46.7",""
"Obese","France","Percentage","2019","All ISCED 2011 levels ","Males","Total","13.6",""
"Underweight","Croatia","Percentage","2019","All ISCED 2011 levels ","Males","Total","0.4",""
"Normal","Croatia","Percentage","2019","All ISCED 2011 levels ","Males","Total","27.6",""
"Obese","Croatia","Percentage","2019","All ISCED 2011 levels ","Males","Total","23.3",""
"Underweight","Italy","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.4",""
"Normal","Italy","Percentage","2019","All ISCED 2011 levels ","Males","Total","44.5",""
"Obese","Italy","Percentage","2019","All ISCED 2011 levels ","Males","Total","12.5",""
"Underweight","Cyprus","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.2",""
"Normal","Cyprus","Percentage","2019","All ISCED 2011 levels ","Males","Total","41.1",""
"Obese","Cyprus","Percentage","2019","All ISCED 2011 levels ","Males","Total","15.8",""
"Underweight","Latvia","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.4",""
"Normal","Latvia","Percentage","2019","All ISCED 2011 levels ","Males","Total","40.3",""
"Obese","Latvia","Percentage","2019","All ISCED 2011 levels ","Males","Total","18.9",""
"Underweight","Lithuania","Percentage","2019","All ISCED 2011 levels ","Males","Total","2.0",""
"Normal","Lithuania","Percentage","2019","All ISCED 2011 levels ","Males","Total","39.8",""
"Obese","Lithuania","Percentage","2019","All ISCED 2011 levels ","Males","Total","16.4",""
"Underweight","Luxembourg","Percentage","2019","All ISCED 2011 levels ","Males","Total","2.2",""
"Normal","Luxembourg","Percentage","2019","All ISCED 2011 levels ","Males","Total","41.4",""
"Obese","Luxembourg","Percentage","2019","All ISCED 2011 levels ","Males","Total","17.9",""
"Underweight","Hungary","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.4",""
"Normal","Hungary","Percentage","2019","All ISCED 2011 levels ","Males","Total","33.4",""
"Obese","Hungary","Percentage","2019","All ISCED 2011 levels ","Males","Total","25.1",""
"Underweight","Malta","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.3",""
"Normal","Malta","Percentage","2019","All ISCED 2011 levels ","Males","Total","28.5",""
"Obese","Malta","Percentage","2019","All ISCED 2011 levels ","Males","Total","30.2",""
"Underweight","Netherlands","Percentage","2019","All ISCED 2011 levels ","Males","Total","2.5",""
"Normal","Netherlands","Percentage","2019","All ISCED 2011 levels ","Males","Total","44.7",""
"Obese","Netherlands","Percentage","2019","All ISCED 2011 levels ","Males","Total","12.6",""
"Underweight","Austria","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.4",""
"Normal","Austria","Percentage","2019","All ISCED 2011 levels ","Males","Total","39.2",""
"Obese","Austria","Percentage","2019","All ISCED 2011 levels ","Males","Total","18.2",""
"Underweight","Poland","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.2",""
"Normal","Poland","Percentage","2019","All ISCED 2011 levels ","Males","Total","33.5",""
"Obese","Poland","Percentage","2019","All ISCED 2011 levels ","Males","Total","19.5",""
"Underweight","Portugal","Percentage","2019","All ISCED 2011 levels ","Males","Total","1.6",""
"Normal","Portugal","Percentage","2019","All ISCED 2011 levels ","Males","Total","39.0",""
"Obese","Portugal","Percentage","2019","All ISCED 2011 levels ","Males","Total","16.7",""
"Underweight","Romania","Percentage","2019","All ISCED 2011 levels ","Males","Total","0.5",""
"Normal","Romania","Percentage","2019","All ISCED 2011 levels ","Males","Total","35.1",""
"Obese","Romania","Percentage","2019","All ISCED 2011 levels ","Males","Total","10.6",""
"Underweight","Slovenia","Percentage","2019","All ISCED 2011 levels ","Males","Total","0.7",""
"Normal","Slovenia","Percentage","2019","All ISCED 2011 levels ","Males","Total","34.9",""
"Obese","Slovenia","Percentage","2019","All ISCED 2011 levels ","Males","Total","20.7",""
