"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.9",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total","45.8",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total","16.0",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total",":",""
"Underweight","Belgium","Percentage","2019","All ISCED 2011 levels ","Total","Total","3.2",""
"Normal","Belgium","Percentage","2019","All ISCED 2011 levels ","Total","Total","48.0",""
"Obese","Belgium","Percentage","2019","All ISCED 2011 levels ","Total","Total","15.9",""
"Underweight","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.4",""
"Normal","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Total","Total","44.1",""
"Obese","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Total","Total","13.2",""
"Underweight","Czechia","Percentage","2019","All ISCED 2011 levels ","Total","Total","1.6",""
"Normal","Czechia","Percentage","2019","All ISCED 2011 levels ","Total","Total","40.0",""
"Obese","Czechia","Percentage","2019","All ISCED 2011 levels ","Total","Total","19.3",""
"Underweight","Denmark","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.3",""
"Normal","Denmark","Percentage","2019","All ISCED 2011 levels ","Total","Total","48.8",""
"Obese","Denmark","Percentage","2019","All ISCED 2011 levels ","Total","Total","15.9",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.7",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Total","Total","45.2",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Total","Total","18.5",""
"Underweight","Estonia","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.5",""
"Normal","Estonia","Percentage","2019","All ISCED 2011 levels ","Total","Total","42.4",""
"Obese","Estonia","Percentage","2019","All ISCED 2011 levels ","Total","Total","21.1",""
"Underweight","Ireland","Percentage","2019","All ISCED 2011 levels ","Total","Total","17.4",""
"Normal","Ireland","Percentage","2019","All ISCED 2011 levels ","Total","Total","28.6",""
"Obese","Ireland","Percentage","2019","All ISCED 2011 levels ","Total","Total","25.8",""
"Underweight","Greece","Percentage","2019","All ISCED 2011 levels ","Total","Total","1.4",""
"Normal","Greece","Percentage","2019","All ISCED 2011 levels ","Total","Total","42.3",""
"Obese","Greece","Percentage","2019","All ISCED 2011 levels ","Total","Total","16.2",""
"Underweight","Spain","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.4",""
"Normal","Spain","Percentage","2019","All ISCED 2011 levels ","Total","Total","45.3",""
"Obese","Spain","Percentage","2019","All ISCED 2011 levels ","Total","Total","15.4",""
"Underweight","France","Percentage","2019","All ISCED 2011 levels ","Total","Total","4.3",""
"Normal","France","Percentage","2019","All ISCED 2011 levels ","Total","Total","50.3",""
"Obese","France","Percentage","2019","All ISCED 2011 levels ","Total","Total","14.4",""
"Underweight","Croatia","Percentage","2019","All ISCED 2011 levels ","Total","Total","1.7",""
"Normal","Croatia","Percentage","2019","All ISCED 2011 levels ","Total","Total","34.5",""
"Obese","Croatia","Percentage","2019","All ISCED 2011 levels ","Total","Total","22.6",""
"Underweight","Italy","Percentage","2019","All ISCED 2011 levels ","Total","Total","3.9",""
"Normal","Italy","Percentage","2019","All ISCED 2011 levels ","Total","Total","51.4",""
"Obese","Italy","Percentage","2019","All ISCED 2011 levels ","Total","Total","11.4",""
"Underweight","Cyprus","Percentage","2019","All ISCED 2011 levels ","Total","Total","3.9",""
"Normal","Cyprus","Percentage","2019","All ISCED 2011 levels ","Total","Total","47.7",""
"Obese","Cyprus","Percentage","2019","All ISCED 2011 levels ","Total","Total","14.6",""
"Underweight","Latvia","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.6",""
"Normal","Latvia","Percentage","2019","All ISCED 2011 levels ","Total","Total","40.7",""
"Obese","Latvia","Percentage","2019","All ISCED 2011 levels ","Total","Total","22.3",""
"Underweight","Lithuania","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.3",""
"Normal","Lithuania","Percentage","2019","All ISCED 2011 levels ","Total","Total","42.7",""
"Obese","Lithuania","Percentage","2019","All ISCED 2011 levels ","Total","Total","18.3",""
"Underweight","Luxembourg","Percentage","2019","All ISCED 2011 levels ","Total","Total","3.7",""
"Normal","Luxembourg","Percentage","2019","All ISCED 2011 levels ","Total","Total","49.2",""
"Obese","Luxembourg","Percentage","2019","All ISCED 2011 levels ","Total","Total","16.1",""
"Underweight","Hungary","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.7",""
"Normal","Hungary","Percentage","2019","All ISCED 2011 levels ","Total","Total","38.9",""
"Obese","Hungary","Percentage","2019","All ISCED 2011 levels ","Total","Total","23.9",""
"Underweight","Malta","Percentage","2019","All ISCED 2011 levels ","Total","Total","1.9",""
"Normal","Malta","Percentage","2019","All ISCED 2011 levels ","Total","Total","34.2",""
"Obese","Malta","Percentage","2019","All ISCED 2011 levels ","Total","Total","28.1",""
"Underweight","Netherlands","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.9",""
"Normal","Netherlands","Percentage","2019","All ISCED 2011 levels ","Total","Total","48.9",""
"Obese","Netherlands","Percentage","2019","All ISCED 2011 levels ","Total","Total","14.1",""
"Underweight","Austria","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.6",""
"Normal","Austria","Percentage","2019","All ISCED 2011 levels ","Total","Total","46.3",""
"Obese","Austria","Percentage","2019","All ISCED 2011 levels ","Total","Total","16.7",""
"Underweight","Poland","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.7",""
"Normal","Poland","Percentage","2019","All ISCED 2011 levels ","Total","Total","40.6",""
"Obese","Poland","Percentage","2019","All ISCED 2011 levels ","Total","Total","18.5",""
"Underweight","Portugal","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.0",""
"Normal","Portugal","Percentage","2019","All ISCED 2011 levels ","Total","Total","43.4",""
"Obese","Portugal","Percentage","2019","All ISCED 2011 levels ","Total","Total","17.2",""
"Underweight","Romania","Percentage","2019","All ISCED 2011 levels ","Total","Total","1.0",""
"Normal","Romania","Percentage","2019","All ISCED 2011 levels ","Total","Total","42.5",""
