"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Fifth quintile","Females","Total","4.6",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Fifth quintile","Females","Total","58.0",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Fifth quintile","Females","Total","11.3",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Fifth quintile","Females","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Fifth quintile","Females","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Fifth quintile","Females","Total",":",""
"Underweight","Belgium","Percentage","2019","Fifth quintile","Females","Total","6.4",""
"Normal","Belgium","Percentage","2019","Fifth quintile","Females","Total","62.6",""
"Obese","Belgium","Percentage","2019","Fifth quintile","Females","Total","9.1",""
"Underweight","Bulgaria","Percentage","2019","Fifth quintile","Females","Total","5.3",""
"Normal","Bulgaria","Percentage","2019","Fifth quintile","Females","Total","57.2",""
"Obese","Bulgaria","Percentage","2019","Fifth quintile","Females","Total","8.0",""
"Underweight","Czechia","Percentage","2019","Fifth quintile","Females","Total","2.6",""
"Normal","Czechia","Percentage","2019","Fifth quintile","Females","Total","56.9",""
"Obese","Czechia","Percentage","2019","Fifth quintile","Females","Total","13.0",""
"Underweight","Denmark","Percentage","2019","Fifth quintile","Females","Total","2.2",""
"Normal","Denmark","Percentage","2019","Fifth quintile","Females","Total","59.4",""
"Obese","Denmark","Percentage","2019","Fifth quintile","Females","Total","14.3",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fifth quintile","Females","Total","3.7",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fifth quintile","Females","Total","58.3",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fifth quintile","Females","Total","13.1",""
"Underweight","Estonia","Percentage","2019","Fifth quintile","Females","Total","3.5",""
"Normal","Estonia","Percentage","2019","Fifth quintile","Females","Total","61.6",""
"Obese","Estonia","Percentage","2019","Fifth quintile","Females","Total","14.1",""
"Underweight","Ireland","Percentage","2019","Fifth quintile","Females","Total","26.4",""
"Normal","Ireland","Percentage","2019","Fifth quintile","Females","Total","33.3",""
"Obese","Ireland","Percentage","2019","Fifth quintile","Females","Total","21.3",""
"Underweight","Greece","Percentage","2019","Fifth quintile","Females","Total","2.9",""
"Normal","Greece","Percentage","2019","Fifth quintile","Females","Total","58.9",""
