"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Fifth quintile","Males","Total","1.1",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Fifth quintile","Males","Total","41.2",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Fifth quintile","Males","Total","13.9",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Fifth quintile","Males","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Fifth quintile","Males","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Fifth quintile","Males","Total",":",""
"Underweight","Belgium","Percentage","2019","Fifth quintile","Males","Total","2.1",""
"Normal","Belgium","Percentage","2019","Fifth quintile","Males","Total","50.0",""
"Obese","Belgium","Percentage","2019","Fifth quintile","Males","Total","13.0",""
"Underweight","Bulgaria","Percentage","2019","Fifth quintile","Males","Total","0.7",""
"Normal","Bulgaria","Percentage","2019","Fifth quintile","Males","Total","38.6",""
"Obese","Bulgaria","Percentage","2019","Fifth quintile","Males","Total","15.3",""
"Underweight","Czechia","Percentage","2019","Fifth quintile","Males","Total","0.2",""
"Normal","Czechia","Percentage","2019","Fifth quintile","Males","Total","31.3",""
"Obese","Czechia","Percentage","2019","Fifth quintile","Males","Total","18.7",""
"Underweight","Denmark","Percentage","2019","Fifth quintile","Males","Total","1.0",""
"Normal","Denmark","Percentage","2019","Fifth quintile","Males","Total","42.0",""
"Obese","Denmark","Percentage","2019","Fifth quintile","Males","Total","15.6",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fifth quintile","Males","Total","0.5",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fifth quintile","Males","Total","40.2",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fifth quintile","Males","Total","15.4",""
"Underweight","Estonia","Percentage","2019","Fifth quintile","Males","Total","0.7",""
"Normal","Estonia","Percentage","2019","Fifth quintile","Males","Total","37.1",""
"Obese","Estonia","Percentage","2019","Fifth quintile","Males","Total","16.4",""
"Underweight","Ireland","Percentage","2019","Fifth quintile","Males","Total","4.7",""
"Normal","Ireland","Percentage","2019","Fifth quintile","Males","Total","29.6",""
"Obese","Ireland","Percentage","2019","Fifth quintile","Males","Total","26.8",""
"Underweight","Greece","Percentage","2019","Fifth quintile","Males","Total","0.8",""
"Normal","Greece","Percentage","2019","Fifth quintile","Males","Total","35.1",""
"Obese","Greece","Percentage","2019","Fifth quintile","Males","Total","14.6",""
"Underweight","Spain","Percentage","2019","Fifth quintile","Males","Total","0.8",""
"Normal","Spain","Percentage","2019","Fifth quintile","Males","Total","40.4",""
"Obese","Spain","Percentage","2019","Fifth quintile","Males","Total","13.1",""
"Underweight","France","Percentage","2019","Fifth quintile","Males","Total","2.1",""
"Normal","France","Percentage","2019","Fifth quintile","Males","Total","47.3",""
"Obese","France","Percentage","2019","Fifth quintile","Males","Total","10.8",""
"Underweight","Croatia","Percentage","2019","Fifth quintile","Males","Total","0.6",""
"Normal","Croatia","Percentage","2019","Fifth quintile","Males","Total","20.1",""
"Obese","Croatia","Percentage","2019","Fifth quintile","Males","Total","22.6",""
"Underweight","Italy","Percentage","2019","Fifth quintile","Males","Total","0.9",""
"Normal","Italy","Percentage","2019","Fifth quintile","Males","Total","45.1",""
"Obese","Italy","Percentage","2019","Fifth quintile","Males","Total","12.0",""
"Underweight","Cyprus","Percentage","2019","Fifth quintile","Males","Total","0.5",""
"Normal","Cyprus","Percentage","2019","Fifth quintile","Males","Total","34.7",""
"Obese","Cyprus","Percentage","2019","Fifth quintile","Males","Total","16.4",""
"Underweight","Latvia","Percentage","2019","Fifth quintile","Males","Total","0",""
"Normal","Latvia","Percentage","2019","Fifth quintile","Males","Total","37.2",""
"Obese","Latvia","Percentage","2019","Fifth quintile","Males","Total","20.2",""
"Underweight","Lithuania","Percentage","2019","Fifth quintile","Males","Total","0.8",""
"Normal","Lithuania","Percentage","2019","Fifth quintile","Males","Total","47.2",""
"Obese","Lithuania","Percentage","2019","Fifth quintile","Males","Total","13.2",""
"Underweight","Luxembourg","Percentage","2019","Fifth quintile","Males","Total","2.7",""
"Normal","Luxembourg","Percentage","2019","Fifth quintile","Males","Total","45.4",""
"Obese","Luxembourg","Percentage","2019","Fifth quintile","Males","Total","16.2",""
"Underweight","Hungary","Percentage","2019","Fifth quintile","Males","Total","0.7",""
"Normal","Hungary","Percentage","2019","Fifth quintile","Males","Total","35.9",""
"Obese","Hungary","Percentage","2019","Fifth quintile","Males","Total","18.3",""
"Underweight","Malta","Percentage","2019","Fifth quintile","Males","Total","0.8",""
"Normal","Malta","Percentage","2019","Fifth quintile","Males","Total","27.3",""
"Obese","Malta","Percentage","2019","Fifth quintile","Males","Total","29.0",""
"Underweight","Netherlands","Percentage","2019","Fifth quintile","Males","Total","3.3",""
"Normal","Netherlands","Percentage","2019","Fifth quintile","Males","Total","49.3",""
"Obese","Netherlands","Percentage","2019","Fifth quintile","Males","Total","9.0",""
"Underweight","Austria","Percentage","2019","Fifth quintile","Males","Total","1.6",""
"Normal","Austria","Percentage","2019","Fifth quintile","Males","Total","41.3",""
"Obese","Austria","Percentage","2019","Fifth quintile","Males","Total","16.1",""
"Underweight","Poland","Percentage","2019","Fifth quintile","Males","Total","1.6",""
"Normal","Poland","Percentage","2019","Fifth quintile","Males","Total","34.1",""
"Obese","Poland","Percentage","2019","Fifth quintile","Males","Total","17.4",""
"Underweight","Portugal","Percentage","2019","Fifth quintile","Males","Total","0.9",""
"Normal","Portugal","Percentage","2019","Fifth quintile","Males","Total","42.6",""
"Obese","Portugal","Percentage","2019","Fifth quintile","Males","Total","13.2",""
"Underweight","Romania","Percentage","2019","Fifth quintile","Males","Total","0.7",""
"Normal","Romania","Percentage","2019","Fifth quintile","Males","Total","36.4",""
"Obese","Romania","Percentage","2019","Fifth quintile","Males","Total","9.7",""
"Underweight","Slovenia","Percentage","2019","Fifth quintile","Males","Total","0.6",""
"Normal","Slovenia","Percentage","2019","Fifth quintile","Males","Total","40.0",""
"Obese","Slovenia","Percentage","2019","Fifth quintile","Males","Total","17.7",""
"Underweight","Slovakia","Percentage","2019","Fifth quintile","Males","Total","0.2",""
"Normal","Slovakia","Percentage","2019","Fifth quintile","Males","Total","33.9",""
"Obese","Slovakia","Percentage","2019","Fifth quintile","Males","Total","19.3",""
"Underweight","Finland","Percentage","2019","Fifth quintile","Males","Total","1.5",""
"Normal","Finland","Percentage","2019","Fifth quintile","Males","Total","33.6",""
"Obese","Finland","Percentage","2019","Fifth quintile","Males","Total","19.3",""
"Underweight","Sweden","Percentage","2019","Fifth quintile","Males","Total","1.4",""
"Normal","Sweden","Percentage","2019","Fifth quintile","Males","Total","44.0",""
"Obese","Sweden","Percentage","2019","Fifth quintile","Males","Total","12.1",""
"Underweight","Iceland","Percentage","2019","Fifth quintile","Males","Total",":",""
"Normal","Iceland","Percentage","2019","Fifth quintile","Males","Total",":",""
"Obese","Iceland","Percentage","2019","Fifth quintile","Males","Total",":",""
"Underweight","Norway","Percentage","2019","Fifth quintile","Males","Total","0.3",""
"Normal","Norway","Percentage","2019","Fifth quintile","Males","Total","39.0",""
"Obese","Norway","Percentage","2019","Fifth quintile","Males","Total","15.7",""
"Underweight","United Kingdom","Percentage","2019","Fifth quintile","Males","Total",":",""
"Normal","United Kingdom","Percentage","2019","Fifth quintile","Males","Total",":",""
"Obese","United Kingdom","Percentage","2019","Fifth quintile","Males","Total",":",""
"Underweight","Serbia","Percentage","2019","Fifth quintile","Males","Total","0.6",""
"Normal","Serbia","Percentage","2019","Fifth quintile","Males","Total","36.8",""
"Obese","Serbia","Percentage","2019","Fifth quintile","Males","Total","19.0",""
"Underweight","Turkey","Percentage","2019","Fifth quintile","Males","Total","1.1",""
"Normal","Turkey","Percentage","2019","Fifth quintile","Males","Total","39.7",""
"Obese","Turkey","Percentage","2019","Fifth quintile","Males","Total","16.9",""
