"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Fifth quintile","Total","Total","2.8",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Fifth quintile","Total","Total","49.3",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Fifth quintile","Total","Total","12.7",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Fifth quintile","Total","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Fifth quintile","Total","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Fifth quintile","Total","Total",":",""
"Underweight","Belgium","Percentage","2019","Fifth quintile","Total","Total","4.2",""
"Normal","Belgium","Percentage","2019","Fifth quintile","Total","Total","56.1",""
"Obese","Belgium","Percentage","2019","Fifth quintile","Total","Total","11.1",""
"Underweight","Bulgaria","Percentage","2019","Fifth quintile","Total","Total","2.8",""
"Normal","Bulgaria","Percentage","2019","Fifth quintile","Total","Total","47.2",""
"Obese","Bulgaria","Percentage","2019","Fifth quintile","Total","Total","11.9",""
"Underweight","Czechia","Percentage","2019","Fifth quintile","Total","Total","1.2",""
"Normal","Czechia","Percentage","2019","Fifth quintile","Total","Total","42.1",""
"Obese","Czechia","Percentage","2019","Fifth quintile","Total","Total","16.3",""
"Underweight","Denmark","Percentage","2019","Fifth quintile","Total","Total","1.6",""
"Normal","Denmark","Percentage","2019","Fifth quintile","Total","Total","50.5",""
"Obese","Denmark","Percentage","2019","Fifth quintile","Total","Total","14.9",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fifth quintile","Total","Total","1.9",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fifth quintile","Total","Total","48.0",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fifth quintile","Total","Total","14.4",""
"Underweight","Estonia","Percentage","2019","Fifth quintile","Total","Total","1.9",""
"Normal","Estonia","Percentage","2019","Fifth quintile","Total","Total","48.0",""
"Obese","Estonia","Percentage","2019","Fifth quintile","Total","Total","15.4",""
"Underweight","Ireland","Percentage","2019","Fifth quintile","Total","Total","16.3",""
"Normal","Ireland","Percentage","2019","Fifth quintile","Total","Total","31.6",""
"Obese","Ireland","Percentage","2019","Fifth quintile","Total","Total","23.9",""
"Underweight","Greece","Percentage","2019","Fifth quintile","Total","Total","1.7",""
"Normal","Greece","Percentage","2019","Fifth quintile","Total","Total","45.3",""
"Obese","Greece","Percentage","2019","Fifth quintile","Total","Total","13.9",""
"Underweight","Spain","Percentage","2019","Fifth quintile","Total","Total","2.5",""
"Normal","Spain","Percentage","2019","Fifth quintile","Total","Total","48.5",""
"Obese","Spain","Percentage","2019","Fifth quintile","Total","Total","11.8",""
"Underweight","France","Percentage","2019","Fifth quintile","Total","Total","4.2",""
"Normal","France","Percentage","2019","Fifth quintile","Total","Total","54.8",""
"Obese","France","Percentage","2019","Fifth quintile","Total","Total","10.0",""
"Underweight","Croatia","Percentage","2019","Fifth quintile","Total","Total","1.2",""
"Normal","Croatia","Percentage","2019","Fifth quintile","Total","Total","31.6",""
"Obese","Croatia","Percentage","2019","Fifth quintile","Total","Total","22.2",""
"Underweight","Italy","Percentage","2019","Fifth quintile","Total","Total","3.6",""
"Normal","Italy","Percentage","2019","Fifth quintile","Total","Total","52.7",""
"Obese","Italy","Percentage","2019","Fifth quintile","Total","Total","10.2",""
"Underweight","Cyprus","Percentage","2019","Fifth quintile","Total","Total","3.2",""
"Normal","Cyprus","Percentage","2019","Fifth quintile","Total","Total","47.1",""
"Obese","Cyprus","Percentage","2019","Fifth quintile","Total","Total","13.1",""
"Underweight","Latvia","Percentage","2019","Fifth quintile","Total","Total","2.1",""
"Normal","Latvia","Percentage","2019","Fifth quintile","Total","Total","45.4",""
"Obese","Latvia","Percentage","2019","Fifth quintile","Total","Total","17.9",""
"Underweight","Lithuania","Percentage","2019","Fifth quintile","Total","Total","3.3",""
"Normal","Lithuania","Percentage","2019","Fifth quintile","Total","Total","53.7",""
"Obese","Lithuania","Percentage","2019","Fifth quintile","Total","Total","10.7",""
"Underweight","Luxembourg","Percentage","2019","Fifth quintile","Total","Total","3.5",""
"Normal","Luxembourg","Percentage","2019","Fifth quintile","Total","Total","53.4",""
"Obese","Luxembourg","Percentage","2019","Fifth quintile","Total","Total","13.2",""
