"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","First quintile","Females","Total","4.5",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","First quintile","Females","Total","47.5",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","First quintile","Females","Total","19.2",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","First quintile","Females","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","First quintile","Females","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","First quintile","Females","Total",":",""
"Underweight","Belgium","Percentage","2019","First quintile","Females","Total","4.2",""
"Normal","Belgium","Percentage","2019","First quintile","Females","Total","42.6",""
"Obese","Belgium","Percentage","2019","First quintile","Females","Total","19.7",""
"Underweight","Bulgaria","Percentage","2019","First quintile","Females","Total","2.0",""
"Normal","Bulgaria","Percentage","2019","First quintile","Females","Total","44.8",""
"Obese","Bulgaria","Percentage","2019","First quintile","Females","Total","15.2",""
"Underweight","Czechia","Percentage","2019","First quintile","Females","Total","2.2",""
"Normal","Czechia","Percentage","2019","First quintile","Females","Total","42.9",""
"Obese","Czechia","Percentage","2019","First quintile","Females","Total","21.8",""
"Underweight","Denmark","Percentage","2019","First quintile","Females","Total","2.7",""
"Normal","Denmark","Percentage","2019","First quintile","Females","Total","50.9",""
"Obese","Denmark","Percentage","2019","First quintile","Females","Total","18.0",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","First quintile","Females","Total","5.6",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","First quintile","Females","Total","46.3",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","First quintile","Females","Total","23.4",""
"Underweight","Estonia","Percentage","2019","First quintile","Females","Total","2.9",""
"Normal","Estonia","Percentage","2019","First quintile","Females","Total","39.4",""
"Obese","Estonia","Percentage","2019","First quintile","Females","Total","26.2",""
"Underweight","Ireland","Percentage","2019","First quintile","Females","Total","35.9",""
"Normal","Ireland","Percentage","2019","First quintile","Females","Total","18.2",""
"Obese","Ireland","Percentage","2019","First quintile","Females","Total","28.8",""
"Underweight","Greece","Percentage","2019","First quintile","Females","Total","3.0",""
"Normal","Greece","Percentage","2019","First quintile","Females","Total","51.0",""
"Obese","Greece","Percentage","2019","First quintile","Females","Total","20.2",""
"Underweight","Spain","Percentage","2019","First quintile","Females","Total","4.0",""
"Normal","Spain","Percentage","2019","First quintile","Females","Total","51.8",""
"Obese","Spain","Percentage","2019","First quintile","Females","Total","15.1",""
"Underweight","France","Percentage","2019","First quintile","Females","Total","5.7",""
"Normal","France","Percentage","2019","First quintile","Females","Total","48.3",""
"Obese","France","Percentage","2019","First quintile","Females","Total","18.8",""
"Underweight","Croatia","Percentage","2019","First quintile","Females","Total","4.0",""
"Normal","Croatia","Percentage","2019","First quintile","Females","Total","28.2",""
"Obese","Croatia","Percentage","2019","First quintile","Females","Total","27.6",""
"Underweight","Italy","Percentage","2019","First quintile","Females","Total","5.7",""
"Normal","Italy","Percentage","2019","First quintile","Females","Total","55.8",""
"Obese","Italy","Percentage","2019","First quintile","Females","Total","12.7",""
"Underweight","Cyprus","Percentage","2019","First quintile","Females","Total","7.3",""
"Normal","Cyprus","Percentage","2019","First quintile","Females","Total","44.2",""
"Obese","Cyprus","Percentage","2019","First quintile","Females","Total","17.2",""
"Underweight","Latvia","Percentage","2019","First quintile","Females","Total","2.8",""
"Normal","Latvia","Percentage","2019","First quintile","Females","Total","27.8",""
"Obese","Latvia","Percentage","2019","First quintile","Females","Total","33.4",""
"Underweight","Lithuania","Percentage","2019","First quintile","Females","Total","1.4",""
"Normal","Lithuania","Percentage","2019","First quintile","Females","Total","35.8",""
