"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","First quintile","Males","Total","2.6",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","First quintile","Males","Total","43.1",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","First quintile","Males","Total","16.6",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","First quintile","Males","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","First quintile","Males","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","First quintile","Males","Total",":",""
"Underweight","Belgium","Percentage","2019","First quintile","Males","Total","2.7",""
"Normal","Belgium","Percentage","2019","First quintile","Males","Total","41.3",""
"Obese","Belgium","Percentage","2019","First quintile","Males","Total","18.5",""
"Underweight","Bulgaria","Percentage","2019","First quintile","Males","Total","1.6",""
"Normal","Bulgaria","Percentage","2019","First quintile","Males","Total","40.1",""
"Obese","Bulgaria","Percentage","2019","First quintile","Males","Total","14.4",""
"Underweight","Czechia","Percentage","2019","First quintile","Males","Total","1.2",""
"Normal","Czechia","Percentage","2019","First quintile","Males","Total","35.7",""
"Obese","Czechia","Percentage","2019","First quintile","Males","Total","23.9",""
"Underweight","Denmark","Percentage","2019","First quintile","Males","Total","1.0",""
"Normal","Denmark","Percentage","2019","First quintile","Males","Total","50.3",""
"Obese","Denmark","Percentage","2019","First quintile","Males","Total","14.8",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","First quintile","Males","Total","3.3",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","First quintile","Males","Total","42.3",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","First quintile","Males","Total","20.5",""
"Underweight","Estonia","Percentage","2019","First quintile","Males","Total","0.2",""
"Normal","Estonia","Percentage","2019","First quintile","Males","Total","44.8",""
"Obese","Estonia","Percentage","2019","First quintile","Males","Total","20.4",""
"Underweight","Ireland","Percentage","2019","First quintile","Males","Total","9.9",""
"Normal","Ireland","Percentage","2019","First quintile","Males","Total","26.4",""
"Obese","Ireland","Percentage","2019","First quintile","Males","Total","35.2",""
"Underweight","Greece","Percentage","2019","First quintile","Males","Total","1.2",""
"Normal","Greece","Percentage","2019","First quintile","Males","Total","46.3",""
"Obese","Greece","Percentage","2019","First quintile","Males","Total","12.5",""
"Underweight","Spain","Percentage","2019","First quintile","Males","Total","2.0",""
"Normal","Spain","Percentage","2019","First quintile","Males","Total","42.5",""
"Obese","Spain","Percentage","2019","First quintile","Males","Total","16.9",""
"Underweight","France","Percentage","2019","First quintile","Males","Total","4.1",""
"Normal","France","Percentage","2019","First quintile","Males","Total","48.1",""
"Obese","France","Percentage","2019","First quintile","Males","Total","14.0",""
"Underweight","Croatia","Percentage","2019","First quintile","Males","Total","0.8",""
"Normal","Croatia","Percentage","2019","First quintile","Males","Total","33.4",""
"Obese","Croatia","Percentage","2019","First quintile","Males","Total","28.1",""
"Underweight","Italy","Percentage","2019","First quintile","Males","Total","2.1",""
"Normal","Italy","Percentage","2019","First quintile","Males","Total","43.0",""
"Obese","Italy","Percentage","2019","First quintile","Males","Total","11.6",""
"Underweight","Cyprus","Percentage","2019","First quintile","Males","Total","2.0",""
"Normal","Cyprus","Percentage","2019","First quintile","Males","Total","42.0",""
"Obese","Cyprus","Percentage","2019","First quintile","Males","Total","17.3",""
"Underweight","Latvia","Percentage","2019","First quintile","Males","Total","2.5",""
"Normal","Latvia","Percentage","2019","First quintile","Males","Total","46.8",""
"Obese","Latvia","Percentage","2019","First quintile","Males","Total","17.4",""
"Underweight","Lithuania","Percentage","2019","First quintile","Males","Total","0.6",""
"Normal","Lithuania","Percentage","2019","First quintile","Males","Total","39.8",""
"Obese","Lithuania","Percentage","2019","First quintile","Males","Total","18.1",""
"Underweight","Luxembourg","Percentage","2019","First quintile","Males","Total","3.4",""
"Normal","Luxembourg","Percentage","2019","First quintile","Males","Total","39.5",""
"Obese","Luxembourg","Percentage","2019","First quintile","Males","Total","17.5",""
"Underweight","Hungary","Percentage","2019","First quintile","Males","Total","2.5",""
"Normal","Hungary","Percentage","2019","First quintile","Males","Total","36.2",""
"Obese","Hungary","Percentage","2019","First quintile","Males","Total","27.2",""
"Underweight","Malta","Percentage","2019","First quintile","Males","Total","1.1",""
"Normal","Malta","Percentage","2019","First quintile","Males","Total","29.0",""
"Obese","Malta","Percentage","2019","First quintile","Males","Total","37.1",""
"Underweight","Netherlands","Percentage","2019","First quintile","Males","Total","1.6",""
"Normal","Netherlands","Percentage","2019","First quintile","Males","Total","43.9",""
"Obese","Netherlands","Percentage","2019","First quintile","Males","Total","14.9",""
"Underweight","Austria","Percentage","2019","First quintile","Males","Total","2.7",""
"Normal","Austria","Percentage","2019","First quintile","Males","Total","39.9",""
"Obese","Austria","Percentage","2019","First quintile","Males","Total","20.1",""
"Underweight","Poland","Percentage","2019","First quintile","Males","Total","2.0",""
"Normal","Poland","Percentage","2019","First quintile","Males","Total","42.6",""
"Obese","Poland","Percentage","2019","First quintile","Males","Total","17.7",""
"Underweight","Portugal","Percentage","2019","First quintile","Males","Total","4.4",""
"Normal","Portugal","Percentage","2019","First quintile","Males","Total","47.9",""
"Obese","Portugal","Percentage","2019","First quintile","Males","Total","14.5",""
"Underweight","Romania","Percentage","2019","First quintile","Males","Total","1.0",""
"Normal","Romania","Percentage","2019","First quintile","Males","Total","39.7",""
"Obese","Romania","Percentage","2019","First quintile","Males","Total","8.0",""
"Underweight","Slovenia","Percentage","2019","First quintile","Males","Total","0.9",""
"Normal","Slovenia","Percentage","2019","First quintile","Males","Total","30.6",""
"Obese","Slovenia","Percentage","2019","First quintile","Males","Total","24.6",""
"Underweight","Slovakia","Percentage","2019","First quintile","Males","Total","0.9",""
"Normal","Slovakia","Percentage","2019","First quintile","Males","Total","38.3",""
"Obese","Slovakia","Percentage","2019","First quintile","Males","Total","19.2",""
"Underweight","Finland","Percentage","2019","First quintile","Males","Total","1.7",""
"Normal","Finland","Percentage","2019","First quintile","Males","Total","46.2",""
"Obese","Finland","Percentage","2019","First quintile","Males","Total","18.3",""
"Underweight","Sweden","Percentage","2019","First quintile","Males","Total","3.4",""
"Normal","Sweden","Percentage","2019","First quintile","Males","Total","43.3",""
"Obese","Sweden","Percentage","2019","First quintile","Males","Total","17.5",""
"Underweight","Iceland","Percentage","2019","First quintile","Males","Total",":",""
"Normal","Iceland","Percentage","2019","First quintile","Males","Total",":",""
"Obese","Iceland","Percentage","2019","First quintile","Males","Total",":",""
"Underweight","Norway","Percentage","2019","First quintile","Males","Total","2.3",""
"Normal","Norway","Percentage","2019","First quintile","Males","Total","53.7",""
"Obese","Norway","Percentage","2019","First quintile","Males","Total","12.2",""
"Underweight","United Kingdom","Percentage","2019","First quintile","Males","Total",":",""
"Normal","United Kingdom","Percentage","2019","First quintile","Males","Total",":",""
"Obese","United Kingdom","Percentage","2019","First quintile","Males","Total",":",""
"Underweight","Serbia","Percentage","2019","First quintile","Males","Total","2.3",""
"Normal","Serbia","Percentage","2019","First quintile","Males","Total","39.9",""
"Obese","Serbia","Percentage","2019","First quintile","Males","Total","19.7",""
"Underweight","Turkey","Percentage","2019","First quintile","Males","Total","4.4",""
"Normal","Turkey","Percentage","2019","First quintile","Males","Total","46.4",""
"Obese","Turkey","Percentage","2019","First quintile","Males","Total","16.1",""
