"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","First quintile","Total","Total","3.7",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","First quintile","Total","Total","45.5",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","First quintile","Total","Total","18.0",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","First quintile","Total","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","First quintile","Total","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","First quintile","Total","Total",":",""
"Underweight","Belgium","Percentage","2019","First quintile","Total","Total","3.5",""
"Normal","Belgium","Percentage","2019","First quintile","Total","Total","42.0",""
"Obese","Belgium","Percentage","2019","First quintile","Total","Total","19.2",""
"Underweight","Bulgaria","Percentage","2019","First quintile","Total","Total","1.8",""
"Normal","Bulgaria","Percentage","2019","First quintile","Total","Total","43.0",""
"Obese","Bulgaria","Percentage","2019","First quintile","Total","Total","14.9",""
"Underweight","Czechia","Percentage","2019","First quintile","Total","Total","1.9",""
"Normal","Czechia","Percentage","2019","First quintile","Total","Total","40.4",""
"Obese","Czechia","Percentage","2019","First quintile","Total","Total","22.6",""
"Underweight","Denmark","Percentage","2019","First quintile","Total","Total","1.9",""
"Normal","Denmark","Percentage","2019","First quintile","Total","Total","50.6",""
"Obese","Denmark","Percentage","2019","First quintile","Total","Total","16.5",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","First quintile","Total","Total","4.5",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","First quintile","Total","Total","44.4",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","First quintile","Total","Total","22.0",""
"Underweight","Estonia","Percentage","2019","First quintile","Total","Total","1.9",""
"Normal","Estonia","Percentage","2019","First quintile","Total","Total","41.4",""
"Obese","Estonia","Percentage","2019","First quintile","Total","Total","24.1",""
"Underweight","Ireland","Percentage","2019","First quintile","Total","Total","24.2",""
"Normal","Ireland","Percentage","2019","First quintile","Total","Total","21.8",""
"Obese","Ireland","Percentage","2019","First quintile","Total","Total","31.6",""
"Underweight","Greece","Percentage","2019","First quintile","Total","Total","2.1",""
"Normal","Greece","Percentage","2019","First quintile","Total","Total","48.8",""
"Obese","Greece","Percentage","2019","First quintile","Total","Total","16.5",""
"Underweight","Spain","Percentage","2019","First quintile","Total","Total","3.1",""
"Normal","Spain","Percentage","2019","First quintile","Total","Total","47.4",""
"Obese","Spain","Percentage","2019","First quintile","Total","Total","16.0",""
"Underweight","France","Percentage","2019","First quintile","Total","Total","5.0",""
"Normal","France","Percentage","2019","First quintile","Total","Total","48.2",""
"Obese","France","Percentage","2019","First quintile","Total","Total","16.6",""
"Underweight","Croatia","Percentage","2019","First quintile","Total","Total","2.8",""
"Normal","Croatia","Percentage","2019","First quintile","Total","Total","30.2",""
"Obese","Croatia","Percentage","2019","First quintile","Total","Total","27.8",""
"Underweight","Italy","Percentage","2019","First quintile","Total","Total","4.1",""
"Normal","Italy","Percentage","2019","First quintile","Total","Total","49.9",""
"Obese","Italy","Percentage","2019","First quintile","Total","Total","12.2",""
"Underweight","Cyprus","Percentage","2019","First quintile","Total","Total","4.9",""
"Normal","Cyprus","Percentage","2019","First quintile","Total","Total","43.2",""
"Obese","Cyprus","Percentage","2019","First quintile","Total","Total","17.3",""
"Underweight","Latvia","Percentage","2019","First quintile","Total","Total","2.7",""
"Normal","Latvia","Percentage","2019","First quintile","Total","Total","34.0",""
"Obese","Latvia","Percentage","2019","First quintile","Total","Total","28.1",""
"Underweight","Lithuania","Percentage","2019","First quintile","Total","Total","1.2",""
"Normal","Lithuania","Percentage","2019","First quintile","Total","Total","36.9",""
"Obese","Lithuania","Percentage","2019","First quintile","Total","Total","24.8",""
"Underweight","Luxembourg","Percentage","2019","First quintile","Total","Total","4.1",""
"Normal","Luxembourg","Percentage","2019","First quintile","Total","Total","45.7",""
"Obese","Luxembourg","Percentage","2019","First quintile","Total","Total","17.6",""
"Underweight","Hungary","Percentage","2019","First quintile","Total","Total","3.9",""
"Normal","Hungary","Percentage","2019","First quintile","Total","Total","37.7",""
"Obese","Hungary","Percentage","2019","First quintile","Total","Total","27.2",""
"Underweight","Malta","Percentage","2019","First quintile","Total","Total","1.6",""
"Normal","Malta","Percentage","2019","First quintile","Total","Total","30.3",""
"Obese","Malta","Percentage","2019","First quintile","Total","Total","33.7",""
"Underweight","Netherlands","Percentage","2019","First quintile","Total","Total","2.1",""
"Normal","Netherlands","Percentage","2019","First quintile","Total","Total","46.0",""
"Obese","Netherlands","Percentage","2019","First quintile","Total","Total","18.4",""
"Underweight","Austria","Percentage","2019","First quintile","Total","Total","3.2",""
"Normal","Austria","Percentage","2019","First quintile","Total","Total","44.0",""
"Obese","Austria","Percentage","2019","First quintile","Total","Total","19.6",""
"Underweight","Poland","Percentage","2019","First quintile","Total","Total","2.7",""
"Normal","Poland","Percentage","2019","First quintile","Total","Total","40.7",""
"Obese","Poland","Percentage","2019","First quintile","Total","Total","21.8",""
"Underweight","Portugal","Percentage","2019","First quintile","Total","Total","3.0",""
"Normal","Portugal","Percentage","2019","First quintile","Total","Total","47.1",""
"Obese","Portugal","Percentage","2019","First quintile","Total","Total","17.3",""
"Underweight","Romania","Percentage","2019","First quintile","Total","Total","1.2",""
"Normal","Romania","Percentage","2019","First quintile","Total","Total","42.3",""
"Obese","Romania","Percentage","2019","First quintile","Total","Total","9.8",""
"Underweight","Slovenia","Percentage","2019","First quintile","Total","Total","2.0",""
"Normal","Slovenia","Percentage","2019","First quintile","Total","Total","34.6",""
"Obese","Slovenia","Percentage","2019","First quintile","Total","Total","24.6",""
"Underweight","Slovakia","Percentage","2019","First quintile","Total","Total","3.8",""
