"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Fourth quintile","Females","Total","3.8",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Fourth quintile","Females","Total","53.5",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Fourth quintile","Females","Total","13.9",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Fourth quintile","Females","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Fourth quintile","Females","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Fourth quintile","Females","Total",":",""
"Underweight","Belgium","Percentage","2019","Fourth quintile","Females","Total","2.6",""
"Normal","Belgium","Percentage","2019","Fourth quintile","Females","Total","51.3",""
"Obese","Belgium","Percentage","2019","Fourth quintile","Females","Total","17.8",""
"Underweight","Bulgaria","Percentage","2019","Fourth quintile","Females","Total","3.3",""
"Normal","Bulgaria","Percentage","2019","Fourth quintile","Females","Total","57.2",""
"Obese","Bulgaria","Percentage","2019","Fourth quintile","Females","Total","11.0",""
"Underweight","Czechia","Percentage","2019","Fourth quintile","Females","Total","3.2",""
"Normal","Czechia","Percentage","2019","Fourth quintile","Females","Total","52.3",""
"Obese","Czechia","Percentage","2019","Fourth quintile","Females","Total","12.2",""
"Underweight","Denmark","Percentage","2019","Fourth quintile","Females","Total","2.7",""
"Normal","Denmark","Percentage","2019","Fourth quintile","Females","Total","52.5",""
"Obese","Denmark","Percentage","2019","Fourth quintile","Females","Total","18.8",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fourth quintile","Females","Total","2.6",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fourth quintile","Females","Total","52.6",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fourth quintile","Females","Total","16.5",""
"Underweight","Estonia","Percentage","2019","Fourth quintile","Females","Total","3.9",""
"Normal","Estonia","Percentage","2019","Fourth quintile","Females","Total","54.4",""
"Obese","Estonia","Percentage","2019","Fourth quintile","Females","Total","16.8",""
"Underweight","Ireland","Percentage","2019","Fourth quintile","Females","Total","28.0",""
"Normal","Ireland","Percentage","2019","Fourth quintile","Females","Total","28.1",""
"Obese","Ireland","Percentage","2019","Fourth quintile","Females","Total","22.4",""
"Underweight","Greece","Percentage","2019","Fourth quintile","Females","Total","2.0",""
"Normal","Greece","Percentage","2019","Fourth quintile","Females","Total","51.6",""
"Obese","Greece","Percentage","2019","Fourth quintile","Females","Total","14.0",""
"Underweight","Spain","Percentage","2019","Fourth quintile","Females","Total","2.6",""
"Normal","Spain","Percentage","2019","Fourth quintile","Females","Total","52.0",""
"Obese","Spain","Percentage","2019","Fourth quintile","Females","Total","15.3",""
"Underweight","France","Percentage","2019","Fourth quintile","Females","Total","6.1",""
"Normal","France","Percentage","2019","Fourth quintile","Females","Total","56.5",""
"Obese","France","Percentage","2019","Fourth quintile","Females","Total","12.2",""
"Underweight","Croatia","Percentage","2019","Fourth quintile","Females","Total","3.3",""
"Normal","Croatia","Percentage","2019","Fourth quintile","Females","Total","42.7",""
"Obese","Croatia","Percentage","2019","Fourth quintile","Females","Total","21.1",""
"Underweight","Italy","Percentage","2019","Fourth quintile","Females","Total","6.7",""
"Normal","Italy","Percentage","2019","Fourth quintile","Females","Total","59.8",""
"Obese","Italy","Percentage","2019","Fourth quintile","Females","Total","8.8",""
"Underweight","Cyprus","Percentage","2019","Fourth quintile","Females","Total","7.2",""
"Normal","Cyprus","Percentage","2019","Fourth quintile","Females","Total","58.8",""
"Obese","Cyprus","Percentage","2019","Fourth quintile","Females","Total","11.8",""
"Underweight","Latvia","Percentage","2019","Fourth quintile","Females","Total","4.1",""
"Normal","Latvia","Percentage","2019","Fourth quintile","Females","Total","50.8",""
"Obese","Latvia","Percentage","2019","Fourth quintile","Females","Total","18.4",""
"Underweight","Lithuania","Percentage","2019","Fourth quintile","Females","Total","2.0",""
"Normal","Lithuania","Percentage","2019","Fourth quintile","Females","Total","47.3",""
"Obese","Lithuania","Percentage","2019","Fourth quintile","Females","Total","17.5",""
"Underweight","Luxembourg","Percentage","2019","Fourth quintile","Females","Total","3.2",""
"Normal","Luxembourg","Percentage","2019","Fourth quintile","Females","Total","65.2",""
"Obese","Luxembourg","Percentage","2019","Fourth quintile","Females","Total","11.7",""
"Underweight","Hungary","Percentage","2019","Fourth quintile","Females","Total","2.6",""
"Normal","Hungary","Percentage","2019","Fourth quintile","Females","Total","48.5",""
"Obese","Hungary","Percentage","2019","Fourth quintile","Females","Total","18.8",""
"Underweight","Malta","Percentage","2019","Fourth quintile","Females","Total","3.7",""
"Normal","Malta","Percentage","2019","Fourth quintile","Females","Total","47.0",""
"Obese","Malta","Percentage","2019","Fourth quintile","Females","Total","23.2",""
"Underweight","Netherlands","Percentage","2019","Fourth quintile","Females","Total","3.3",""
"Normal","Netherlands","Percentage","2019","Fourth quintile","Females","Total","51.4",""
"Obese","Netherlands","Percentage","2019","Fourth quintile","Females","Total","14.5",""
"Underweight","Austria","Percentage","2019","Fourth quintile","Females","Total","4.4",""
"Normal","Austria","Percentage","2019","Fourth quintile","Females","Total","57.7",""
"Obese","Austria","Percentage","2019","Fourth quintile","Females","Total","11.3",""
"Underweight","Poland","Percentage","2019","Fourth quintile","Females","Total","4.0",""
"Normal","Poland","Percentage","2019","Fourth quintile","Females","Total","50.3",""
"Obese","Poland","Percentage","2019","Fourth quintile","Females","Total","14.9",""
"Underweight","Portugal","Percentage","2019","Fourth quintile","Females","Total","2.5",""
"Normal","Portugal","Percentage","2019","Fourth quintile","Females","Total","49.6",""
"Obese","Portugal","Percentage","2019","Fourth quintile","Females","Total","14.4",""
"Underweight","Romania","Percentage","2019","Fourth quintile","Females","Total","0.9",""
"Normal","Romania","Percentage","2019","Fourth quintile","Females","Total","49.2",""
"Obese","Romania","Percentage","2019","Fourth quintile","Females","Total","9.6",""
"Underweight","Slovenia","Percentage","2019","Fourth quintile","Females","Total","2.7",""
"Normal","Slovenia","Percentage","2019","Fourth quintile","Females","Total","58.4",""
"Obese","Slovenia","Percentage","2019","Fourth quintile","Females","Total","12.5",""
"Underweight","Slovakia","Percentage","2019","Fourth quintile","Females","Total","2.7",""
"Normal","Slovakia","Percentage","2019","Fourth quintile","Females","Total","44.2",""
"Obese","Slovakia","Percentage","2019","Fourth quintile","Females","Total","20.5",""
"Underweight","Finland","Percentage","2019","Fourth quintile","Females","Total","1.2",""
"Normal","Finland","Percentage","2019","Fourth quintile","Females","Total","41.9",""
"Obese","Finland","Percentage","2019","Fourth quintile","Females","Total","23.4",""
"Underweight","Sweden","Percentage","2019","Fourth quintile","Females","Total","2.3",""
"Normal","Sweden","Percentage","2019","Fourth quintile","Females","Total","59.1",""
"Obese","Sweden","Percentage","2019","Fourth quintile","Females","Total","12.2",""
"Underweight","Iceland","Percentage","2019","Fourth quintile","Females","Total",":",""
"Normal","Iceland","Percentage","2019","Fourth quintile","Females","Total",":",""
"Obese","Iceland","Percentage","2019","Fourth quintile","Females","Total",":",""
"Underweight","Norway","Percentage","2019","Fourth quintile","Females","Total","1.6",""
"Normal","Norway","Percentage","2019","Fourth quintile","Females","Total","55.2",""
"Obese","Norway","Percentage","2019","Fourth quintile","Females","Total","11.8",""
"Underweight","United Kingdom","Percentage","2019","Fourth quintile","Females","Total",":",""
"Normal","United Kingdom","Percentage","2019","Fourth quintile","Females","Total",":",""
"Obese","United Kingdom","Percentage","2019","Fourth quintile","Females","Total",":",""
"Underweight","Serbia","Percentage","2019","Fourth quintile","Females","Total","3.4",""
"Normal","Serbia","Percentage","2019","Fourth quintile","Females","Total","55.8",""
"Obese","Serbia","Percentage","2019","Fourth quintile","Females","Total","11.8",""
"Underweight","Turkey","Percentage","2019","Fourth quintile","Females","Total","5.4",""
"Normal","Turkey","Percentage","2019","Fourth quintile","Females","Total","39.1",""
"Obese","Turkey","Percentage","2019","Fourth quintile","Females","Total","26.1",""
