"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Fourth quintile","Males","Total","1.3",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Fourth quintile","Males","Total","39.7",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Fourth quintile","Males","Total","16.0",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Fourth quintile","Males","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Fourth quintile","Males","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Fourth quintile","Males","Total",":",""
"Underweight","Belgium","Percentage","2019","Fourth quintile","Males","Total","1.9",""
"Normal","Belgium","Percentage","2019","Fourth quintile","Males","Total","42.6",""
"Obese","Belgium","Percentage","2019","Fourth quintile","Males","Total","14.6",""
"Underweight","Bulgaria","Percentage","2019","Fourth quintile","Males","Total","0.8",""
"Normal","Bulgaria","Percentage","2019","Fourth quintile","Males","Total","32.2",""
"Obese","Bulgaria","Percentage","2019","Fourth quintile","Males","Total","14.7",""
"Underweight","Czechia","Percentage","2019","Fourth quintile","Males","Total","0.8",""
"Normal","Czechia","Percentage","2019","Fourth quintile","Males","Total","31.7",""
"Obese","Czechia","Percentage","2019","Fourth quintile","Males","Total","19.3",""
"Underweight","Denmark","Percentage","2019","Fourth quintile","Males","Total","0.1",""
"Normal","Denmark","Percentage","2019","Fourth quintile","Males","Total","40.1",""
"Obese","Denmark","Percentage","2019","Fourth quintile","Males","Total","14.9",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fourth quintile","Males","Total","1.7",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fourth quintile","Males","Total","38.4",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fourth quintile","Males","Total","17.4",""
"Underweight","Estonia","Percentage","2019","Fourth quintile","Males","Total","2.5",""
"Normal","Estonia","Percentage","2019","Fourth quintile","Males","Total","38.4",""
"Obese","Estonia","Percentage","2019","Fourth quintile","Males","Total","20.2",""
"Underweight","Ireland","Percentage","2019","Fourth quintile","Males","Total","6.5",""
"Normal","Ireland","Percentage","2019","Fourth quintile","Males","Total","31.7",""
"Obese","Ireland","Percentage","2019","Fourth quintile","Males","Total","26.2",""
"Underweight","Greece","Percentage","2019","Fourth quintile","Males","Total","0.1",""
