"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Fourth quintile","Total","Total","2.6",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Fourth quintile","Total","Total","46.5",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Fourth quintile","Total","Total","15.0",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Fourth quintile","Total","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Fourth quintile","Total","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Fourth quintile","Total","Total",":",""
"Underweight","Belgium","Percentage","2019","Fourth quintile","Total","Total","2.2",""
"Normal","Belgium","Percentage","2019","Fourth quintile","Total","Total","46.9",""
"Obese","Belgium","Percentage","2019","Fourth quintile","Total","Total","16.2",""
"Underweight","Bulgaria","Percentage","2019","Fourth quintile","Total","Total","2.1",""
"Normal","Bulgaria","Percentage","2019","Fourth quintile","Total","Total","45.0",""
"Obese","Bulgaria","Percentage","2019","Fourth quintile","Total","Total","12.8",""
"Underweight","Czechia","Percentage","2019","Fourth quintile","Total","Total","1.9",""
"Normal","Czechia","Percentage","2019","Fourth quintile","Total","Total","41.3",""
"Obese","Czechia","Percentage","2019","Fourth quintile","Total","Total","16.0",""
"Underweight","Denmark","Percentage","2019","Fourth quintile","Total","Total","1.3",""
"Normal","Denmark","Percentage","2019","Fourth quintile","Total","Total","45.8",""
"Obese","Denmark","Percentage","2019","Fourth quintile","Total","Total","16.7",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fourth quintile","Total","Total","2.2",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fourth quintile","Total","Total","45.3",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Fourth quintile","Total","Total","16.9",""
"Underweight","Estonia","Percentage","2019","Fourth quintile","Total","Total","3.2",""
"Normal","Estonia","Percentage","2019","Fourth quintile","Total","Total","46.3",""
"Obese","Estonia","Percentage","2019","Fourth quintile","Total","Total","18.5",""
"Underweight","Ireland","Percentage","2019","Fourth quintile","Total","Total","16.1",""
"Normal","Ireland","Percentage","2019","Fourth quintile","Total","Total","30.1",""
"Obese","Ireland","Percentage","2019","Fourth quintile","Total","Total","24.5",""
"Underweight","Greece","Percentage","2019","Fourth quintile","Total","Total","1.1",""
"Normal","Greece","Percentage","2019","Fourth quintile","Total","Total","42.8",""
"Obese","Greece","Percentage","2019","Fourth quintile","Total","Total","14.7",""
"Underweight","Spain","Percentage","2019","Fourth quintile","Total","Total","1.8",""
"Normal","Spain","Percentage","2019","Fourth quintile","Total","Total","45.5",""
"Obese","Spain","Percentage","2019","Fourth quintile","Total","Total","15.6",""
"Underweight","France","Percentage","2019","Fourth quintile","Total","Total","4.0",""
"Normal","France","Percentage","2019","Fourth quintile","Total","Total","52.1",""
"Obese","France","Percentage","2019","Fourth quintile","Total","Total","12.9",""
"Underweight","Croatia","Percentage","2019","Fourth quintile","Total","Total","2.0",""
"Normal","Croatia","Percentage","2019","Fourth quintile","Total","Total","36.7",""
"Obese","Croatia","Percentage","2019","Fourth quintile","Total","Total","22.1",""
"Underweight","Italy","Percentage","2019","Fourth quintile","Total","Total","3.9",""
"Normal","Italy","Percentage","2019","Fourth quintile","Total","Total","53.0",""
"Obese","Italy","Percentage","2019","Fourth quintile","Total","Total","10.9",""
"Underweight","Cyprus","Percentage","2019","Fourth quintile","Total","Total","4.5",""
"Normal","Cyprus","Percentage","2019","Fourth quintile","Total","Total","52.4",""
"Obese","Cyprus","Percentage","2019","Fourth quintile","Total","Total","12.6",""
