"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Second quintile","Females","Total","3.7",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Second quintile","Females","Total","47.6",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Second quintile","Females","Total","18.6",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Second quintile","Females","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Second quintile","Females","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Second quintile","Females","Total",":",""
"Underweight","Belgium","Percentage","2019","Second quintile","Females","Total","5.6",""
"Normal","Belgium","Percentage","2019","Second quintile","Females","Total","47.7",""
"Obese","Belgium","Percentage","2019","Second quintile","Females","Total","15.7",""
"Underweight","Bulgaria","Percentage","2019","Second quintile","Females","Total","5.1",""
"Normal","Bulgaria","Percentage","2019","Second quintile","Females","Total","42.6",""
"Obese","Bulgaria","Percentage","2019","Second quintile","Females","Total","12.8",""
"Underweight","Czechia","Percentage","2019","Second quintile","Females","Total","2.5",""
"Normal","Czechia","Percentage","2019","Second quintile","Females","Total","43.7",""
"Obese","Czechia","Percentage","2019","Second quintile","Females","Total","21.4",""
"Underweight","Denmark","Percentage","2019","Second quintile","Females","Total","3.5",""
"Normal","Denmark","Percentage","2019","Second quintile","Females","Total","55.4",""
"Obese","Denmark","Percentage","2019","Second quintile","Females","Total","17.6",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Second quintile","Females","Total","2.7",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Second quintile","Females","Total","47.6",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Second quintile","Females","Total","22.4",""
"Underweight","Estonia","Percentage","2019","Second quintile","Females","Total","2.2",""
"Normal","Estonia","Percentage","2019","Second quintile","Females","Total","34.2",""
"Obese","Estonia","Percentage","2019","Second quintile","Females","Total","30.2",""
"Underweight","Ireland","Percentage","2019","Second quintile","Females","Total","25.1",""
"Normal","Ireland","Percentage","2019","Second quintile","Females","Total","27.2",""
"Obese","Ireland","Percentage","2019","Second quintile","Females","Total","27.0",""
"Underweight","Greece","Percentage","2019","Second quintile","Females","Total","2.4",""
"Normal","Greece","Percentage","2019","Second quintile","Females","Total","49.2",""
"Obese","Greece","Percentage","2019","Second quintile","Females","Total","16.3",""
"Underweight","Spain","Percentage","2019","Second quintile","Females","Total","3.2",""
"Normal","Spain","Percentage","2019","Second quintile","Females","Total","47.2",""
"Obese","Spain","Percentage","2019","Second quintile","Females","Total","17.7",""
"Underweight","France","Percentage","2019","Second quintile","Females","Total","5.1",""
"Normal","France","Percentage","2019","Second quintile","Females","Total","50.9",""
"Obese","France","Percentage","2019","Second quintile","Females","Total","18.4",""
"Underweight","Croatia","Percentage","2019","Second quintile","Females","Total","3.3",""
"Normal","Croatia","Percentage","2019","Second quintile","Females","Total","36.3",""
"Obese","Croatia","Percentage","2019","Second quintile","Females","Total","27.7",""
"Underweight","Italy","Percentage","2019","Second quintile","Females","Total","5.4",""
"Normal","Italy","Percentage","2019","Second quintile","Females","Total","55.2",""
"Obese","Italy","Percentage","2019","Second quintile","Females","Total","11.4",""
"Underweight","Cyprus","Percentage","2019","Second quintile","Females","Total","4.5",""
"Normal","Cyprus","Percentage","2019","Second quintile","Females","Total","55.0",""
"Obese","Cyprus","Percentage","2019","Second quintile","Females","Total","14.0",""
"Underweight","Latvia","Percentage","2019","Second quintile","Females","Total","2.2",""
"Normal","Latvia","Percentage","2019","Second quintile","Females","Total","35.5",""
"Obese","Latvia","Percentage","2019","Second quintile","Females","Total","30.3",""
"Underweight","Lithuania","Percentage","2019","Second quintile","Females","Total","3.0",""
"Normal","Lithuania","Percentage","2019","Second quintile","Females","Total","36.5",""
"Obese","Lithuania","Percentage","2019","Second quintile","Females","Total","24.0",""
"Underweight","Luxembourg","Percentage","2019","Second quintile","Females","Total","5.5",""
"Normal","Luxembourg","Percentage","2019","Second quintile","Females","Total","51.1",""
"Obese","Luxembourg","Percentage","2019","Second quintile","Females","Total","17.6",""
"Underweight","Hungary","Percentage","2019","Second quintile","Females","Total","3.8",""
"Normal","Hungary","Percentage","2019","Second quintile","Females","Total","36.3",""
"Obese","Hungary","Percentage","2019","Second quintile","Females","Total","27.0",""
"Underweight","Malta","Percentage","2019","Second quintile","Females","Total","2.2",""
"Normal","Malta","Percentage","2019","Second quintile","Females","Total","30.7",""
"Obese","Malta","Percentage","2019","Second quintile","Females","Total","30.5",""
"Underweight","Netherlands","Percentage","2019","Second quintile","Females","Total","3.6",""
"Normal","Netherlands","Percentage","2019","Second quintile","Females","Total","44.2",""
"Obese","Netherlands","Percentage","2019","Second quintile","Females","Total","19.6",""
"Underweight","Austria","Percentage","2019","Second quintile","Females","Total","3.7",""
"Normal","Austria","Percentage","2019","Second quintile","Females","Total","49.8",""
"Obese","Austria","Percentage","2019","Second quintile","Females","Total","17.4",""
