"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Second quintile","Males","Total","1.7",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Second quintile","Males","Total","39.3",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Second quintile","Males","Total","17.3",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Second quintile","Males","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Second quintile","Males","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Second quintile","Males","Total",":",""
"Underweight","Belgium","Percentage","2019","Second quintile","Males","Total","1.1",""
"Normal","Belgium","Percentage","2019","Second quintile","Males","Total","42.7",""
"Obese","Belgium","Percentage","2019","Second quintile","Males","Total","19.2",""
"Underweight","Bulgaria","Percentage","2019","Second quintile","Males","Total","0.8",""
"Normal","Bulgaria","Percentage","2019","Second quintile","Males","Total","38.5",""
"Obese","Bulgaria","Percentage","2019","Second quintile","Males","Total","15.1",""
"Underweight","Czechia","Percentage","2019","Second quintile","Males","Total","0.5",""
"Normal","Czechia","Percentage","2019","Second quintile","Males","Total","29.7",""
"Obese","Czechia","Percentage","2019","Second quintile","Males","Total","23.8",""
"Underweight","Denmark","Percentage","2019","Second quintile","Males","Total","0.8",""
"Normal","Denmark","Percentage","2019","Second quintile","Males","Total","43.0",""
"Obese","Denmark","Percentage","2019","Second quintile","Males","Total","17.0",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Second quintile","Males","Total","1.8",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Second quintile","Males","Total","39.0",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Second quintile","Males","Total","19.5",""
"Underweight","Estonia","Percentage","2019","Second quintile","Males","Total","1.4",""
"Normal","Estonia","Percentage","2019","Second quintile","Males","Total","35.5",""
"Obese","Estonia","Percentage","2019","Second quintile","Males","Total","22.7",""
"Underweight","Ireland","Percentage","2019","Second quintile","Males","Total","6.2",""
"Normal","Ireland","Percentage","2019","Second quintile","Males","Total","29.7",""
"Obese","Ireland","Percentage","2019","Second quintile","Males","Total","21.3",""
"Underweight","Greece","Percentage","2019","Second quintile","Males","Total","0.1",""
"Normal","Greece","Percentage","2019","Second quintile","Males","Total","32.0",""
"Obese","Greece","Percentage","2019","Second quintile","Males","Total","19.4",""
"Underweight","Spain","Percentage","2019","Second quintile","Males","Total","1.1",""
"Normal","Spain","Percentage","2019","Second quintile","Males","Total","36.0",""
"Obese","Spain","Percentage","2019","Second quintile","Males","Total","17.3",""
"Underweight","France","Percentage","2019","Second quintile","Males","Total","3.1",""
"Normal","France","Percentage","2019","Second quintile","Males","Total","45.7",""
"Obese","France","Percentage","2019","Second quintile","Males","Total","14.7",""
"Underweight","Croatia","Percentage","2019","Second quintile","Males","Total","0",""
"Normal","Croatia","Percentage","2019","Second quintile","Males","Total","28.3",""
"Obese","Croatia","Percentage","2019","Second quintile","Males","Total","27.6",""
"Underweight","Italy","Percentage","2019","Second quintile","Males","Total","1.8",""
"Normal","Italy","Percentage","2019","Second quintile","Males","Total","44.1",""
"Obese","Italy","Percentage","2019","Second quintile","Males","Total","13.2",""
"Underweight","Cyprus","Percentage","2019","Second quintile","Males","Total","1.0",""
"Normal","Cyprus","Percentage","2019","Second quintile","Males","Total","41.0",""
"Obese","Cyprus","Percentage","2019","Second quintile","Males","Total","17.0",""
"Underweight","Latvia","Percentage","2019","Second quintile","Males","Total","2.3",""
"Normal","Latvia","Percentage","2019","Second quintile","Males","Total","45.3",""
"Obese","Latvia","Percentage","2019","Second quintile","Males","Total","16.7",""
"Underweight","Lithuania","Percentage","2019","Second quintile","Males","Total","3.6",""
"Normal","Lithuania","Percentage","2019","Second quintile","Males","Total","32.9",""
"Obese","Lithuania","Percentage","2019","Second quintile","Males","Total","17.3",""
"Underweight","Luxembourg","Percentage","2019","Second quintile","Males","Total","1.2",""
"Normal","Luxembourg","Percentage","2019","Second quintile","Males","Total","36.3",""
"Obese","Luxembourg","Percentage","2019","Second quintile","Males","Total","19.7",""
"Underweight","Hungary","Percentage","2019","Second quintile","Males","Total","1.0",""
"Normal","Hungary","Percentage","2019","Second quintile","Males","Total","32.1",""
"Obese","Hungary","Percentage","2019","Second quintile","Males","Total","27.9",""
"Underweight","Malta","Percentage","2019","Second quintile","Males","Total","1.2",""
"Normal","Malta","Percentage","2019","Second quintile","Males","Total","26.4",""
"Obese","Malta","Percentage","2019","Second quintile","Males","Total","32.0",""
"Underweight","Netherlands","Percentage","2019","Second quintile","Males","Total","2.8",""
"Normal","Netherlands","Percentage","2019","Second quintile","Males","Total","39.7",""
"Obese","Netherlands","Percentage","2019","Second quintile","Males","Total","16.5",""
"Underweight","Austria","Percentage","2019","Second quintile","Males","Total","1.4",""
"Normal","Austria","Percentage","2019","Second quintile","Males","Total","37.1",""
"Obese","Austria","Percentage","2019","Second quintile","Males","Total","20.2",""
"Underweight","Poland","Percentage","2019","Second quintile","Males","Total","0.2",""
"Normal","Poland","Percentage","2019","Second quintile","Males","Total","34.7",""
"Obese","Poland","Percentage","2019","Second quintile","Males","Total","23.1",""
"Underweight","Portugal","Percentage","2019","Second quintile","Males","Total","1.1",""
"Normal","Portugal","Percentage","2019","Second quintile","Males","Total","38.8",""
"Obese","Portugal","Percentage","2019","Second quintile","Males","Total","13.9",""
"Underweight","Romania","Percentage","2019","Second quintile","Males","Total","0.2",""
"Normal","Romania","Percentage","2019","Second quintile","Males","Total","35.4",""
"Obese","Romania","Percentage","2019","Second quintile","Males","Total","11.5",""
"Underweight","Slovenia","Percentage","2019","Second quintile","Males","Total","1.0",""
"Normal","Slovenia","Percentage","2019","Second quintile","Males","Total","33.1",""
"Obese","Slovenia","Percentage","2019","Second quintile","Males","Total","21.9",""
"Underweight","Slovakia","Percentage","2019","Second quintile","Males","Total","0.3",""
"Normal","Slovakia","Percentage","2019","Second quintile","Males","Total","33.8",""
"Obese","Slovakia","Percentage","2019","Second quintile","Males","Total","18.9",""
"Underweight","Finland","Percentage","2019","Second quintile","Males","Total","2.5",""
"Normal","Finland","Percentage","2019","Second quintile","Males","Total","39.6",""
"Obese","Finland","Percentage","2019","Second quintile","Males","Total","14.9",""
"Underweight","Sweden","Percentage","2019","Second quintile","Males","Total","2.6",""
"Normal","Sweden","Percentage","2019","Second quintile","Males","Total","42.1",""
"Obese","Sweden","Percentage","2019","Second quintile","Males","Total","14.5",""
"Underweight","Iceland","Percentage","2019","Second quintile","Males","Total",":",""
"Normal","Iceland","Percentage","2019","Second quintile","Males","Total",":",""
"Obese","Iceland","Percentage","2019","Second quintile","Males","Total",":",""
"Underweight","Norway","Percentage","2019","Second quintile","Males","Total","1.9",""
"Normal","Norway","Percentage","2019","Second quintile","Males","Total","41.7",""
"Obese","Norway","Percentage","2019","Second quintile","Males","Total","16.2",""
"Underweight","United Kingdom","Percentage","2019","Second quintile","Males","Total",":",""
"Normal","United Kingdom","Percentage","2019","Second quintile","Males","Total",":",""
