"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Second quintile","Total","Total","2.8",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Second quintile","Total","Total","43.9",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Second quintile","Total","Total","18.0",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Second quintile","Total","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Second quintile","Total","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Second quintile","Total","Total",":",""
"Underweight","Belgium","Percentage","2019","Second quintile","Total","Total","3.5",""
"Normal","Belgium","Percentage","2019","Second quintile","Total","Total","45.4",""
"Obese","Belgium","Percentage","2019","Second quintile","Total","Total","17.3",""
"Underweight","Bulgaria","Percentage","2019","Second quintile","Total","Total","3.2",""
"Normal","Bulgaria","Percentage","2019","Second quintile","Total","Total","40.8",""
"Obese","Bulgaria","Percentage","2019","Second quintile","Total","Total","13.8",""
"Underweight","Czechia","Percentage","2019","Second quintile","Total","Total","1.5",""
"Normal","Czechia","Percentage","2019","Second quintile","Total","Total","37.1",""
"Obese","Czechia","Percentage","2019","Second quintile","Total","Total","22.5",""
"Underweight","Denmark","Percentage","2019","Second quintile","Total","Total","2.1",""
"Normal","Denmark","Percentage","2019","Second quintile","Total","Total","49.1",""
"Obese","Denmark","Percentage","2019","Second quintile","Total","Total","17.3",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Second quintile","Total","Total","2.3",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Second quintile","Total","Total","43.8",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Second quintile","Total","Total","21.1",""
"Underweight","Estonia","Percentage","2019","Second quintile","Total","Total","1.9",""
"Normal","Estonia","Percentage","2019","Second quintile","Total","Total","34.7",""
"Obese","Estonia","Percentage","2019","Second quintile","Total","Total","27.2",""
"Underweight","Ireland","Percentage","2019","Second quintile","Total","Total","15.1",""
"Normal","Ireland","Percentage","2019","Second quintile","Total","Total","28.6",""
"Obese","Ireland","Percentage","2019","Second quintile","Total","Total","24.0",""
"Underweight","Greece","Percentage","2019","Second quintile","Total","Total","1.4",""
"Normal","Greece","Percentage","2019","Second quintile","Total","Total","41.5",""
"Obese","Greece","Percentage","2019","Second quintile","Total","Total","17.7",""
"Underweight","Spain","Percentage","2019","Second quintile","Total","Total","2.2",""
"Normal","Spain","Percentage","2019","Second quintile","Total","Total","41.9",""
"Obese","Spain","Percentage","2019","Second quintile","Total","Total","17.6",""
"Underweight","France","Percentage","2019","Second quintile","Total","Total","4.2",""
