"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Third quintile","Females","Total","4.2",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Third quintile","Females","Total","50.1",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Third quintile","Females","Total","15.8",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Third quintile","Females","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Third quintile","Females","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Third quintile","Females","Total",":",""
"Underweight","Belgium","Percentage","2019","Third quintile","Females","Total","3.6",""
"Normal","Belgium","Percentage","2019","Third quintile","Females","Total","48.4",""
"Obese","Belgium","Percentage","2019","Third quintile","Females","Total","17.9",""
"Underweight","Bulgaria","Percentage","2019","Third quintile","Females","Total","3.3",""
"Normal","Bulgaria","Percentage","2019","Third quintile","Females","Total","49.8",""
"Obese","Bulgaria","Percentage","2019","Third quintile","Females","Total","12.2",""
"Underweight","Czechia","Percentage","2019","Third quintile","Females","Total","3.1",""
"Normal","Czechia","Percentage","2019","Third quintile","Females","Total","46.9",""
"Obese","Czechia","Percentage","2019","Third quintile","Females","Total","17.1",""
"Underweight","Denmark","Percentage","2019","Third quintile","Females","Total","3.9",""
"Normal","Denmark","Percentage","2019","Third quintile","Females","Total","51.1",""
"Obese","Denmark","Percentage","2019","Third quintile","Females","Total","15.8",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Third quintile","Females","Total","3.9",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Third quintile","Females","Total","49.6",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Third quintile","Females","Total","16.9",""
"Underweight","Estonia","Percentage","2019","Third quintile","Females","Total","3.7",""
"Normal","Estonia","Percentage","2019","Third quintile","Females","Total","42.2",""
"Obese","Estonia","Percentage","2019","Third quintile","Females","Total","25.4",""
"Underweight","Ireland","Percentage","2019","Third quintile","Females","Total","26.2",""
"Normal","Ireland","Percentage","2019","Third quintile","Females","Total","24.2",""
"Obese","Ireland","Percentage","2019","Third quintile","Females","Total","23.1",""
"Underweight","Greece","Percentage","2019","Third quintile","Females","Total","2.1",""
"Normal","Greece","Percentage","2019","Third quintile","Females","Total","46.0",""
"Obese","Greece","Percentage","2019","Third quintile","Females","Total","16.6",""
"Underweight","Spain","Percentage","2019","Third quintile","Females","Total","3.9",""
"Normal","Spain","Percentage","2019","Third quintile","Females","Total","50.2",""
"Obese","Spain","Percentage","2019","Third quintile","Females","Total","15.7",""
"Underweight","France","Percentage","2019","Third quintile","Females","Total","5.6",""
"Normal","France","Percentage","2019","Third quintile","Females","Total","51.9",""
"Obese","France","Percentage","2019","Third quintile","Females","Total","15.4",""
"Underweight","Croatia","Percentage","2019","Third quintile","Females","Total","1.7",""
"Normal","Croatia","Percentage","2019","Third quintile","Females","Total","39.8",""
"Obese","Croatia","Percentage","2019","Third quintile","Females","Total","21.0",""
"Underweight","Italy","Percentage","2019","Third quintile","Females","Total","6.6",""
"Normal","Italy","Percentage","2019","Third quintile","Females","Total","56.6",""
"Obese","Italy","Percentage","2019","Third quintile","Females","Total","11.0",""
"Underweight","Cyprus","Percentage","2019","Third quintile","Females","Total","6.6",""
"Normal","Cyprus","Percentage","2019","Third quintile","Females","Total","51.2",""
"Obese","Cyprus","Percentage","2019","Third quintile","Females","Total","13.8",""
"Underweight","Latvia","Percentage","2019","Third quintile","Females","Total","4.6",""
"Normal","Latvia","Percentage","2019","Third quintile","Females","Total","43.9",""
"Obese","Latvia","Percentage","2019","Third quintile","Females","Total","22.6",""
"Underweight","Lithuania","Percentage","2019","Third quintile","Females","Total","1.4",""
"Normal","Lithuania","Percentage","2019","Third quintile","Females","Total","44.9",""
"Obese","Lithuania","Percentage","2019","Third quintile","Females","Total","22.4",""
"Underweight","Luxembourg","Percentage","2019","Third quintile","Females","Total","5.9",""
"Normal","Luxembourg","Percentage","2019","Third quintile","Females","Total","56.4",""
"Obese","Luxembourg","Percentage","2019","Third quintile","Females","Total","14.2",""
"Underweight","Hungary","Percentage","2019","Third quintile","Females","Total","4.2",""
"Normal","Hungary","Percentage","2019","Third quintile","Females","Total","42.6",""
"Obese","Hungary","Percentage","2019","Third quintile","Females","Total","23.9",""
"Underweight","Malta","Percentage","2019","Third quintile","Females","Total","2.3",""
"Normal","Malta","Percentage","2019","Third quintile","Females","Total","39.8",""
"Obese","Malta","Percentage","2019","Third quintile","Females","Total","27.1",""
"Underweight","Netherlands","Percentage","2019","Third quintile","Females","Total","3.7",""
"Normal","Netherlands","Percentage","2019","Third quintile","Females","Total","55.6",""
"Obese","Netherlands","Percentage","2019","Third quintile","Females","Total","14.7",""
"Underweight","Austria","Percentage","2019","Third quintile","Females","Total","2.2",""
"Normal","Austria","Percentage","2019","Third quintile","Females","Total","54.1",""
"Obese","Austria","Percentage","2019","Third quintile","Females","Total","15.8",""
"Underweight","Poland","Percentage","2019","Third quintile","Females","Total","3.9",""
"Normal","Poland","Percentage","2019","Third quintile","Females","Total","43.2",""
"Obese","Poland","Percentage","2019","Third quintile","Females","Total","18.7",""
"Underweight","Portugal","Percentage","2019","Third quintile","Females","Total","2.0",""
"Normal","Portugal","Percentage","2019","Third quintile","Females","Total","45.4",""
"Obese","Portugal","Percentage","2019","Third quintile","Females","Total","18.4",""
"Underweight","Romania","Percentage","2019","Third quintile","Females","Total","1.2",""
"Normal","Romania","Percentage","2019","Third quintile","Females","Total","49.4",""
"Obese","Romania","Percentage","2019","Third quintile","Females","Total","10.2",""
"Underweight","Slovenia","Percentage","2019","Third quintile","Females","Total","1.8",""
"Normal","Slovenia","Percentage","2019","Third quintile","Females","Total","47.4",""
"Obese","Slovenia","Percentage","2019","Third quintile","Females","Total","19.9",""
"Underweight","Slovakia","Percentage","2019","Third quintile","Females","Total","3.2",""
"Normal","Slovakia","Percentage","2019","Third quintile","Females","Total","43.7",""
"Obese","Slovakia","Percentage","2019","Third quintile","Females","Total","20.1",""
"Underweight","Finland","Percentage","2019","Third quintile","Females","Total","1.5",""
"Normal","Finland","Percentage","2019","Third quintile","Females","Total","40.2",""
"Obese","Finland","Percentage","2019","Third quintile","Females","Total","22.6",""
"Underweight","Sweden","Percentage","2019","Third quintile","Females","Total","2.4",""
"Normal","Sweden","Percentage","2019","Third quintile","Females","Total","49.7",""
"Obese","Sweden","Percentage","2019","Third quintile","Females","Total","16.5",""
"Underweight","Iceland","Percentage","2019","Third quintile","Females","Total",":",""
"Normal","Iceland","Percentage","2019","Third quintile","Females","Total",":",""
"Obese","Iceland","Percentage","2019","Third quintile","Females","Total",":",""
"Underweight","Norway","Percentage","2019","Third quintile","Females","Total","2.5",""
"Normal","Norway","Percentage","2019","Third quintile","Females","Total","53.9",""
"Obese","Norway","Percentage","2019","Third quintile","Females","Total","12.1",""
"Underweight","United Kingdom","Percentage","2019","Third quintile","Females","Total",":",""
"Normal","United Kingdom","Percentage","2019","Third quintile","Females","Total",":",""
"Obese","United Kingdom","Percentage","2019","Third quintile","Females","Total",":",""
"Underweight","Serbia","Percentage","2019","Third quintile","Females","Total","2.7",""
"Normal","Serbia","Percentage","2019","Third quintile","Females","Total","51.4",""
"Obese","Serbia","Percentage","2019","Third quintile","Females","Total","15.9",""
"Underweight","Turkey","Percentage","2019","Third quintile","Females","Total","4.7",""
"Normal","Turkey","Percentage","2019","Third quintile","Females","Total","37.9",""
"Obese","Turkey","Percentage","2019","Third quintile","Females","Total","25.7",""
