"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Third quintile","Males","Total","1.4",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Third quintile","Males","Total","37.9",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Third quintile","Males","Total","17.7",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Third quintile","Males","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Third quintile","Males","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Third quintile","Males","Total",":",""
"Underweight","Belgium","Percentage","2019","Third quintile","Males","Total","1.2",""
"Normal","Belgium","Percentage","2019","Third quintile","Males","Total","38.1",""
"Obese","Belgium","Percentage","2019","Third quintile","Males","Total","21.0",""
"Underweight","Bulgaria","Percentage","2019","Third quintile","Males","Total","1.1",""
"Normal","Bulgaria","Percentage","2019","Third quintile","Males","Total","34.2",""
"Obese","Bulgaria","Percentage","2019","Third quintile","Males","Total","14.2",""
"Underweight","Czechia","Percentage","2019","Third quintile","Males","Total","0.2",""
"Normal","Czechia","Percentage","2019","Third quintile","Males","Total","28.5",""
"Obese","Czechia","Percentage","2019","Third quintile","Males","Total","23.1",""
"Underweight","Denmark","Percentage","2019","Third quintile","Males","Total","0.2",""
"Normal","Denmark","Percentage","2019","Third quintile","Males","Total","38.6",""
"Obese","Denmark","Percentage","2019","Third quintile","Males","Total","16.1",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Third quintile","Males","Total","0.8",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Third quintile","Males","Total","36.7",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Third quintile","Males","Total","21.3",""
"Underweight","Estonia","Percentage","2019","Third quintile","Males","Total","3.2",""
"Normal","Estonia","Percentage","2019","Third quintile","Males","Total","38.5",""
"Obese","Estonia","Percentage","2019","Third quintile","Males","Total","17.7",""
"Underweight","Ireland","Percentage","2019","Third quintile","Males","Total","7.3",""
"Normal","Ireland","Percentage","2019","Third quintile","Males","Total","24.0",""
"Obese","Ireland","Percentage","2019","Third quintile","Males","Total","24.5",""
"Underweight","Greece","Percentage","2019","Third quintile","Males","Total","0.6",""
"Normal","Greece","Percentage","2019","Third quintile","Males","Total","30.9",""
"Obese","Greece","Percentage","2019","Third quintile","Males","Total","17.1",""
"Underweight","Spain","Percentage","2019","Third quintile","Males","Total","1.1",""
"Normal","Spain","Percentage","2019","Third quintile","Males","Total","35.6",""
"Obese","Spain","Percentage","2019","Third quintile","Males","Total","17.3",""
"Underweight","France","Percentage","2019","Third quintile","Males","Total","2.8",""
"Normal","France","Percentage","2019","Third quintile","Males","Total","44.7",""
"Obese","France","Percentage","2019","Third quintile","Males","Total","14.8",""
"Underweight","Croatia","Percentage","2019","Third quintile","Males","Total","0.5",""
"Normal","Croatia","Percentage","2019","Third quintile","Males","Total","29.2",""
"Obese","Croatia","Percentage","2019","Third quintile","Males","Total","22.9",""
"Underweight","Italy","Percentage","2019","Third quintile","Males","Total","1.6",""
"Normal","Italy","Percentage","2019","Third quintile","Males","Total","44.0",""
"Obese","Italy","Percentage","2019","Third quintile","Males","Total","12.8",""
"Underweight","Cyprus","Percentage","2019","Third quintile","Males","Total","1.0",""
"Normal","Cyprus","Percentage","2019","Third quintile","Males","Total","40.6",""
"Obese","Cyprus","Percentage","2019","Third quintile","Males","Total","16.2",""
"Underweight","Latvia","Percentage","2019","Third quintile","Males","Total","0.7",""
"Normal","Latvia","Percentage","2019","Third quintile","Males","Total","39.4",""
"Obese","Latvia","Percentage","2019","Third quintile","Males","Total","20.0",""
"Underweight","Lithuania","Percentage","2019","Third quintile","Males","Total","2.3",""
"Normal","Lithuania","Percentage","2019","Third quintile","Males","Total","34.8",""
"Obese","Lithuania","Percentage","2019","Third quintile","Males","Total","19.9",""
"Underweight","Luxembourg","Percentage","2019","Third quintile","Males","Total","1.6",""
"Normal","Luxembourg","Percentage","2019","Third quintile","Males","Total","34.5",""
"Obese","Luxembourg","Percentage","2019","Third quintile","Males","Total","21.1",""
"Underweight","Hungary","Percentage","2019","Third quintile","Males","Total","1.4",""
"Normal","Hungary","Percentage","2019","Third quintile","Males","Total","29.1",""
"Obese","Hungary","Percentage","2019","Third quintile","Males","Total","28.1",""
"Underweight","Malta","Percentage","2019","Third quintile","Males","Total","1.0",""
"Normal","Malta","Percentage","2019","Third quintile","Males","Total","28.7",""
"Obese","Malta","Percentage","2019","Third quintile","Males","Total","31.8",""
"Underweight","Netherlands","Percentage","2019","Third quintile","Males","Total","2.8",""
"Normal","Netherlands","Percentage","2019","Third quintile","Males","Total","46.9",""
"Obese","Netherlands","Percentage","2019","Third quintile","Males","Total","12.7",""
"Underweight","Austria","Percentage","2019","Third quintile","Males","Total","0.7",""
"Normal","Austria","Percentage","2019","Third quintile","Males","Total","38.5",""
"Obese","Austria","Percentage","2019","Third quintile","Males","Total","17.8",""
"Underweight","Poland","Percentage","2019","Third quintile","Males","Total","1.1",""
"Normal","Poland","Percentage","2019","Third quintile","Males","Total","29.3",""
"Obese","Poland","Percentage","2019","Third quintile","Males","Total","22.1",""
"Underweight","Portugal","Percentage","2019","Third quintile","Males","Total","1.5",""
"Normal","Portugal","Percentage","2019","Third quintile","Males","Total","34.7",""
"Obese","Portugal","Percentage","2019","Third quintile","Males","Total","19.2",""
"Underweight","Romania","Percentage","2019","Third quintile","Males","Total","0.2",""
"Normal","Romania","Percentage","2019","Third quintile","Males","Total","33.6",""
"Obese","Romania","Percentage","2019","Third quintile","Males","Total","11.3",""
"Underweight","Slovenia","Percentage","2019","Third quintile","Males","Total","0.8",""
"Normal","Slovenia","Percentage","2019","Third quintile","Males","Total","30.9",""
"Obese","Slovenia","Percentage","2019","Third quintile","Males","Total","22.8",""
"Underweight","Slovakia","Percentage","2019","Third quintile","Males","Total","0",""
"Normal","Slovakia","Percentage","2019","Third quintile","Males","Total","33.0",""
"Obese","Slovakia","Percentage","2019","Third quintile","Males","Total","21.6",""
