"","za_nr","version","doi","ID_ankete","VE","Region","Size_settlement","HOUR_START","HOUR_STOP","DAT","A0_1","A0_2","A0_3_1","A0_3_2","A0_3_3","A0_3_4","A0_3_5","A0_3_6","A0_4_1","A0_4_2","A0_4_3","A0_4_4","A0_4_5","A0_4_6","A0_5","A0_7","A0_7rec","A0_8","A0_gender_age","A1_1","A1_2","A1_3","A1_4","A1_5","A1_6","A2","A3_1","A3_2","A3_3","A3_4","A3_5","A3_6","A3_7","A3_8","A3_9","A3_10","A3_11","A3_12","A3_13","A3_14","A3_15","A3_16","A4","A5","A6_1","A6_2","A6_3","A6_4","A6_5","A6_6","A6_7","A6_8","A6_9","A6_10","A6_11","A6_12","A6_13","A7_1","A7_2","A7_3","A7_4","A7_5","A7_6","A7_6_text","A8_1","A8_2","A8_3","A8_4","A8_5","A8_6","A8_7","A8_8","A8_9","A8_10","A8_11","A8_12","A9","A10","A11","A12_1","A12_2","A12_3","A12_4","A12_5","A12_6","A12_7","A12_8","A12_9","A12_10","A13","A14","A15","A16","A16_text","A17","A18","A19","A20","A21","A22","A23","A24","A25_1","A25_2","A25_3","B1_1","B1_2","B1_3","B1_4","B1_5","B1_6","B1_7","B1_8","B2_1","B2_2","B2_3","B2_4","B2_5","B2_7","B2_8","B2_9","B3_1","B3_2","B3_3","B3_4","B3_5","B3_6","B3_7","B3_8","B4_1","B4_2","B4_3","B5","B6_A","B6_B","B6_C","B6_D","B6_E","B6_F","B6_G","B6_K","B6_L","B7","B7_text","B8","B9","B10","B11","B12_1","B12_2","C1","C1_text","C2","C2_text","C3","C4","C5","C5_text","C6","C7","C8","C8_text","C9","C9_text","C10","C11","C12","C12_1","C13_1","C13_2","C13_3","C13_4","C13_5","C13_6","C13_7","C13_8","C13_9","C13_10","C14","C15","C16_1","C16_2","C16_3","C16_4","C16_5","C16_6","C17_1","C17_2","C17_3","C17_4","C17_5","C17_6","C17_7","C17_8","C17_9","C17_10","C17_11","C17_12","D1","D2","D2_text","D3","D4","D4_text","D5","D5_text","D6","D7_1","D7_2","D7_3","D7_4","D7_5","D7_6","D7_7","D7_8","D7_9","D7_10","D7_11","D7_12","D7_13","D8_1","D8_2","D8_3","D8_4","D8_5","D8_6","D8_7","D8_8","D8_9","D8_10","D8_11","D8_12","D8_13","D8_14","D8_15","D8_16","D10","D11","E1","E2","E3","E4","E5","E6_A","E6_B","E6_C","E6_D","E6_E","E7","E7_text","E8","E9","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19A","E19B","E19C","E19D","E19E","E19F","E19F_text","E20A","E20B","E20C","E20D","E20E","E20E_text","E21_1","E21_2","E21_3","E21_4","E21_5","E21_6","E21_7","F1","F2_1","F2_2","F2_3","F2_4","F3","F4","F5_1","F5_2","F6_1","F6_2","F6_3","F6_4","F6_5","F6_6","F6_7","F6_7__text","F7","F8","F9_1","F9_2","F9_3","F9_4","F9_5","F9_6","F9_7","F9_8","F9_9","F9_10","F9_11","F9_12","F9_13","F9_14","F10","F11","F11__text","F12_1","F12_2","F12_3","F12_4","F12_5","F12_6","F12_7","F12_8","F12_9","F12_10","F12_11","F12_12","F12_13","G1_1","G1_2","G1_3","G1_4","G1_5","G1_6","G1_7","G1_8","G1_9","G1_10","G1_11","G1_12","G1_13","G2","G3","H2_1","H2_2","H3_1","H3_2","H3_3","H3_4","H3_5","H3_5_text","H4","H5","H6","I1_1","I1_1rec","I1_2","I1_3","I2_1","I2_2","I2_3","I2_4","I2_5","I2_6","I2_7","I2_8","I2_9","I3","I4","I5","I7","I8","w"
"1",5980,"1.0.0 (2016-06-02)","doi:10.4232/1.12325",1,40,5,3,"1730","181","0806",2,4,1,2,1,2,NA,NA,50,48,24,23,NA,NA,4,23,2,2,4,3,3,3,3,3,3,4,1,2,5,1,3,3,1,1,4,5,1,3,1,4,1,1,1,6,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,5,20,50,10,5,25,"Zumba",1,3,3,3,3,1,2,2,1,1,3,1,3,3,3,1,1,1,1,2,1,1,1,1,1,3,2,1,4,NA,5,3,3,7,8,5,1,1,3,3,3,10,8,7,1,6,5,5,1,3,4,3,4,5,5,5,3,1,1,1,1,1,1,1,1,1,6,8,1,1,1,NA,NA,NA,NA,1,NA,NA,2,NA,1,6,2,3,2,3,3,NA,NA,NA,2,1,2,NA,2,1,1,NA,NA,NA,28,28,1,NA,1,1,1,1,5,4,2,5,1,1,1,5,2,2,2,2,2,2,1,2,2,3,3,2,3,2,2,3,2,2,1,1,NA,3,5,NA,1,NA,3,5,5,5,3,4,3,3,4,5,3,2,4,3,5,4,4,3,1,3,1,2,4,4,3,2,3,3,1,1,9,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,1,40,2,2,1,3,2,1,5,4,NA,NA,2,1,4,3,NA,NA,5,2,5,4,1,1,1,1,3,3,1,3,1,2,1,1,1,1,1,1,1,1,NA,NA,5,2,1,1,1,1,2,2,2,1,2,2,2,1,1,3,1,1,NA,1,1,1,2,2,1,2,2,2,1,2,4,2,4,3,4,3,1,1,3,2,2,1,3,3,3,4,1,2,2,5,5,5,5,NA,NA,NA,2,2,4,3,2,2,4,4,3,3,1,1,5,1,4,4,7,450,60,169,0.633440922272416
"2",5980,"1.0.0 (2016-06-02)","doi:10.4232/1.12325",2,40,5,3,"1530","162","0406",2,4,2,1,1,1,NA,NA,42,41,20,16,NA,NA,4,16,1,1,1,3,2,2,2,2,1,2,1,1,4,1,3,3,3,1,5,4,1,1,3,3,1,5,1,4,NA,NA,1,1,1,1,1,NA,NA,1,NA,NA,NA,0,0,20,12,0,NA,"",3,3,3,3,3,2,1,2,3,3,2,2,3,5,3,1,1,1,1,2,1,1,1,1,1,4,1,NA,1,NA,4,3,3,3,4,3,1,1,3,3,5,10,10,9,5,9,9,9,7,3,3,4,3,4,5,5,5,1,3,3,3,1,1,1,1,1,6,8,1,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,3,9,3,1,2,3,2,NA,1,NA,2,2,3,NA,2,2,NA,NA,1,NA,25,24,1,NA,1,5,4,NA,5,4,5,4,2,2,1,5,2,2,1,1,2,2,3,4,4,5,3,4,2,1,3,5,4,2,1,1,NA,3,3,NA,1,NA,3,5,3,2,2,4,3,4,3,4,3,2,3,1,5,5,4,2,2,3,3,3,3,2,2,2,1,3,1,1,9,5,1,5,4,4,2,NA,NA,NA,NA,1,NA,NA,1,3,1,2,2,NA,3,NA,NA,NA,1,3,4,1,5,2,NA,NA,4,1,2,3,NA,NA,3,1,4,3,2,1,2,1,1,1,1,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,1,1,2,4,2,1,1,4,1,1,NA,4,1,3,2,3,4,4,4,4,3,3,4,4,NA,NA,4,3,3,3,NA,3,NA,2,4,4,2,3,3,1,2,3,3,4,3,NA,NA,2,1,1,2,1,1,3,5,2,3,1,0,1,3,2,5,8,5,30,75,177,1.19312037745821
"3",5980,"1.0.0 (2016-06-02)","doi:10.4232/1.12325",3,40,5,3,"1640","172","0406",1,4,2,1,2,2,NA,NA,62,42,41,19,NA,NA,4,19,1,2,2,3,2,2,2,2,2,1,1,1,2,1,2,3,3,3,3,5,2,2,1,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,10,50,15,25,30,NA,"",3,3,3,3,3,2,3,2,2,1,3,1,3,3,1,2,1,1,1,2,1,1,1,1,1,3,2,1,4,NA,2,5,3,8,8,4,2,2,1,1,1,10,5,7,3,3,7,7,3,5,5,5,5,5,5,5,5,3,2,1,2,1,1,4,2,8,5,3,1,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,6,1,1,1,1,1,2,NA,2,NA,2,3,6,NA,3,2,NA,NA,NA,NA,25,25,2,NA,1,1,1,1,5,2,2,5,1,1,NA,5,2,2,2,2,2,2,3,4,4,3,3,3,1,1,1,1,1,1,2,NA,NA,4,8,"Australia",1,NA,3,3,2,3,1,4,2,1,3,3,2,1,2,1,4,4,5,4,3,3,3,4,4,3,2,3,2,2,2,1,5,4,2,4,3,4,4,NA,NA,1,NA,NA,5,NA,1,3,3,2,2,3,3,NA,NA,NA,4,1,3,4,5,2,NA,NA,4,2,1,3,NA,NA,5,3,3,4,2,2,1,3,3,3,3,2,2,2,2,3,1,1,NA,1,1,1,NA,NA,5,2,2,3,3,3,3,4,2,1,3,2,3,4,3,4,3,NA,NA,4,4,4,2,3,4,4,3,4,2,4,4,4,3,4,3,1,2,4,3,3,2,1,2,2,2,3,2,1,1,4,5,5,5,NA,NA,1,2,2,3,2,5,5,5,3,2,2,1,3,6,3,11,8,5,100,70,170,1.09361184575158
"4",5980,"1.0.0 (2016-06-02)","doi:10.4232/1.12325",4,40,5,3,"1330","142","0806",2,4,1,2,2,1,NA,NA,50,48,24,21,NA,NA,3,24,3,2,6,3,2,3,3,2,2,1,1,1,1,1,3,3,2,4,2,4,1,2,1,3,1,2,1,8,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,NA,5,50,10,15,10,NA,"",3,3,3,3,3,3,3,3,2,2,3,1,3,4,3,2,1,2,2,3,3,2,1,2,1,2,3,1,1,NA,3,4,3,5,5,4,5,2,4,4,4,10,9,9,8,9,8,8,8,4,4,4,4,4,4,4,4,2,1,1,1,1,1,2,1,1,2,7,1,NA,NA,1,1,1,NA,1,NA,NA,1,NA,6,NA,2,3,4,2,3,NA,NA,NA,1,1,3,NA,3,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,5,4,1,5,1,1,2,4,2,2,2,2,2,2,2,3,2,4,2,4,2,3,4,2,2,2,1,8,"changing the environment",3,8,"Anywhere",8,"Change of environment",3,5,4,4,1,3,1,1,4,1,2,1,3,2,5,5,3,3,4,2,2,3,3,3,3,3,2,2,3,1,7,3,2,5,3,4,1,NA,NA,NA,NA,1,NA,NA,1,2,4,2,1,1,1,50,2,2,3,1,4,3,2,5,NA,NA,1,2,4,3,NA,NA,5,3,5,5,2,4,1,1,4,4,4,5,1,3,3,4,1,1,1,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,1,8,"none of the above",4,2,2,1,3,4,4,2,4,2,3,4,2,4,4,4,1,2,4,4,3,3,1,2,3,3,1,2,3,3,5,5,5,5,NA,NA,1,2,2,3,2,2,3,4,2,2,0,0,2,6,1,4,8,4,800,65,153,1.03659167495481
"5",5980,"1.0.0 (2016-06-02)","doi:10.4232/1.12325",5,40,5,3,"1915","195","0806",1,3,1,2,1,NA,NA,NA,45,41,20,NA,NA,NA,3,20,2,1,3,3,3,2,2,2,3,1,1,1,2,1,2,3,3,4,4,3,2,2,1,4,2,1,1,4,NA,1,1,1,1,1,NA,1,1,1,NA,NA,NA,20,50,80,30,0,NA,"",3,3,3,3,3,1,2,1,3,2,3,1,2,3,1,3,1,1,1,3,1,1,1,2,1,4,2,3,3,NA,4,3,3,4,4,3,1,1,4,2,2,10,10,8,5,7,8,6,3,4,4,4,3,4,4,4,4,1,1,1,1,1,1,1,1,5,8,1,1,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,6,1,1,1,4,1,2,NA,1,NA,1,1,7,"All",2,2,NA,NA,5,NA,28,28,1,NA,1,1,1,1,5,3,3,5,1,1,1,4,1,2,2,1,2,2,1,5,2,3,3,3,1,1,1,2,1,3,2,NA,NA,4,6,NA,1,NA,3,5,5,2,1,4,2,1,5,3,2,1,3,1,5,5,5,4,3,3,2,3,3,3,3,4,4,3,3,1,10,5,1,5,3,4,1,NA,NA,NA,1,NA,6,NA,3,3,4,2,1,NA,2,6,4,1,2,2,3,1,5,4,NA,NA,2,4,3,1,NA,NA,4,1,4,2,1,2,1,3,3,2,2,1,4,1,4,4,1,1,NA,NA,1,1,NA,NA,8,2,1,1,1,2,1,1,1,1,1,3,2,2,2,3,3,1,NA,4,3,4,1,4,4,3,3,4,3,4,4,4,3,4,4,1,1,1,2,2,3,2,2,2,4,5,3,1,1,4,4,3,3,NA,NA,1,2,2,2,1,3,3,4,3,2,2,0,2,2,1,8,8,7,100,85,184,0.848599700535346
"6",5980,"1.0.0 (2016-06-02)","doi:10.4232/1.12325",6,40,5,3,"1410","150","0906",2,4,1,2,1,2,NA,NA,53,49,26,22,NA,NA,3,26,3,1,5,2,3,1,3,2,2,3,1,1,1,1,4,4,4,4,4,3,1,5,1,4,1,1,1,2,NA,1,1,1,1,1,1,NA,1,1,1,NA,NA,40,70,30,35,0,NA,"",3,3,3,3,3,1,2,3,1,1,3,1,3,4,2,2,1,2,1,4,2,1,1,1,1,1,3,3,1,NA,3,8,3,1,8,4,1,2,1,1,1,10,10,10,5,5,8,1,5,4,4,3,4,4,4,4,5,1,1,2,2,2,1,1,1,7,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,2,2,3,3,2,NA,2,NA,1,1,1,NA,3,1,2,NA,NA,NA,30,30,1,NA,1,1,1,3,4,2,3,4,1,1,1,5,2,2,2,2,2,2,1,3,1,3,1,5,1,1,1,5,1,1,2,NA,NA,3,5,NA,4,NA,3,5,5,5,2,5,1,5,5,5,2,1,4,2,5,5,4,4,3,1,3,2,4,2,2,2,1,1,1,1,10,5,2,3,3,3,5,NA,NA,NA,NA,1,NA,NA,1,4,3,2,2,2,3,NA,NA,NA,1,3,2,1,5,4,NA,NA,3,4,2,1,NA,NA,4,1,3,3,2,2,1,1,2,3,3,4,NA,4,2,2,1,1,NA,NA,NA,NA,NA,NA,5,3,1,1,1,3,1,3,1,3,1,1,3,3,1,3,1,9,NA,4,2,4,2,4,4,4,4,4,4,3,4,4,4,4,3,2,1,4,4,4,3,2,2,3,4,4,1,3,3,3,4,4,2,NA,NA,1,1,1,3,2,3,3,4,3,3,3,0,1,4,1,6,8,5,185,90,194,1.10909431373005
"7",5980,"1.0.0 (2016-06-02)","doi:10.4232/1.12325",7,40,5,3,"1000","105","1106",2,5,1,2,1,1,1,NA,76,52,31,26,26,NA,4,26,3,1,5,3,3,2,3,2,2,1,1,1,1,1,3,3,2,3,1,1,1,2,1,2,1,1,1,6,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0,20,10,20,10,30,"sports activities",1,1,2,3,2,3,2,3,3,2,3,3,3,5,1,3,1,4,1,1,1,1,1,1,1,4,3,2,4,NA,5,8,3,8,7,5,3,1,1,1,1,8,8,8,6,7,5,5,2,3,4,5,5,4,4,4,4,1,1,1,1,1,1,1,1,6,8,3,1,NA,1,1,NA,1,1,NA,NA,NA,1,NA,6,1,1,1,1,1,2,NA,2,NA,2,2,2,NA,3,2,NA,NA,5,NA,30,30,1,NA,1,3,3,1,5,4,4,5,1,1,1,5,2,2,2,1,2,2,3,3,3,3,2,3,1,1,1,2,2,3,2,NA,NA,3,8,"New Zealand",1,NA,3,5,5,4,1,4,3,1,4,3,3,1,4,3,4,4,5,5,4,3,1,1,4,3,3,3,1,2,1,1,9,5,3,3,5,4,4,1,NA,NA,NA,NA,6,NA,1,3,4,2,1,1,2,40,2,2,2,1,5,4,2,3,NA,NA,2,1,4,3,NA,NA,4,3,4,4,3,4,1,1,1,1,1,1,4,2,1,1,1,NA,NA,NA,NA,1,NA,NA,5,1,1,1,1,2,2,2,2,1,2,2,2,3,3,2,3,9,NA,4,1,4,1,3,3,4,3,3,2,4,4,2,3,4,2,1,2,2,4,4,3,2,1,1,2,2,3,1,3,4,4,3,5,NA,NA,1,2,2,4,3,3,4,5,4,2,1,0,2,6,3,11,8,6,700,80,180,0.777062172646339
"8",5980,"1.0.0 (2016-06-02)","doi:10.4232/1.12325",8,4,1,1,"1625","171","0906",2,4,1,2,1,1,NA,NA,49,47,25,23,NA,NA,4,23,2,1,3,3,3,1,2,3,3,4,1,1,4,1,4,4,4,2,2,3,1,5,1,3,1,2,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,0,50,50,20,0,NA,"",2,2,3,2,2,1,1,2,3,2,2,3,1,4,1,3,3,3,2,4,1,1,1,2,1,3,3,2,1,NA,3,5,3,3,3,3,4,2,3,3,2,10,9,9,7,NA,7,7,2,4,3,5,4,4,4,4,4,1,2,1,3,1,1,2,1,7,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,2,2,2,2,NA,2,NA,2,2,1,NA,2,NA,NA,NA,NA,NA,27,30,1,NA,1,3,2,1,5,3,2,5,2,2,1,4,2,2,2,2,2,2,1,4,3,4,3,3,1,2,3,3,3,4,2,NA,NA,3,1,NA,4,NA,3,5,4,2,2,4,3,2,3,2,1,1,2,1,4,3,3,3,3,3,3,3,3,3,2,2,1,2,2,2,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,3,NA,NA,NA,2,1,2,3,5,4,NA,NA,1,3,4,2,NA,NA,4,3,4,4,2,3,2,3,3,3,2,2,3,2,2,3,NA,1,NA,NA,NA,NA,NA,NA,5,1,2,2,2,3,2,3,2,2,3,2,2,2,2,3,3,NA,NA,3,2,4,2,2,2,4,2,3,3,3,4,3,4,4,3,2,2,3,3,4,2,3,2,3,3,4,1,3,3,3,3,3,3,NA,NA,NA,2,2,3,2,2,2,4,2,3,1,0,1,4,1,4,6,5,150,70,173,0.982318837232952
"9",5980,"1.0.0 (2016-06-02)","doi:10.4232/1.12325",9,4,1,1,"0946","103","0906",2,6,1,2,1,2,1,1,69,64,47,40,19,17,6,17,1,1,1,3,3,1,3,2,2,2,2,1,5,2,4,4,3,1,1,2,2,3,1,1,1,5,1,2,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,0,50,30,30,0,NA,"",2,3,3,3,2,1,2,2,3,3,2,1,3,3,NA,1,1,1,1,3,1,1,1,1,1,1,3,3,1,NA,5,8,3,4,3,4,1,1,3,2,1,10,10,7,3,3,3,1,1,1,1,2,3,3,3,3,2,1,1,1,2,2,2,1,1,1,3,6,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,2,8,2,3,3,3,2,NA,4,"with a girlfriend",2,2,1,NA,3,2,NA,NA,2,NA,21,25,1,NA,1,1,1,1,5,3,1,3,1,1,1,4,2,2,2,2,2,2,2,4,4,4,3,4,1,1,1,1,1,2,2,NA,NA,1,NA,NA,NA,NA,NA,4,4,3,2,2,3,4,4,4,3,3,3,3,4,5,4,3,3,2,3,2,4,3,4,3,2,3,3,1,7,3,1,3,2,2,1,NA,NA,NA,NA,1,NA,NA,NA,4,1,1,2,NA,3,NA,NA,NA,2,4,2,1,5,3,NA,NA,1,2,3,4,NA,NA,3,2,3,3,3,3,1,5,2,2,2,2,2,1,2,3,NA,NA,NA,NA,NA,1,NA,NA,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,2,3,9,NA,3,2,4,3,4,4,4,2,2,3,4,4,3,3,3,3,4,3,3,3,4,3,2,2,4,2,NA,2,3,3,2,2,NA,5,NA,NA,2,2,2,2,1,3,4,5,5,4,4,0,2,6,4,8,8,7,100,75,187,1.16627257812557
"10",5980,"1.0.0 (2016-06-02)","doi:10.4232/1.12325",10,4,1,1,"1415","150","0806",1,4,2,2,1,2,NA,NA,76,46,46,16,NA,NA,4,16,1,2,2,3,2,2,2,2,2,3,2,3,5,3,4,3,2,3,4,4,3,2,2,4,3,3,1,4,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,0,10,30,15,20,NA,"",3,2,2,3,3,2,2,2,3,2,3,1,3,5,NA,1,1,1,1,2,1,1,1,1,1,3,1,NA,1,NA,4,5,3,4,5,4,3,2,3,2,2,9,7,8,5,5,6,6,7,4,4,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,6,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,2,9,3,2,3,3,2,NA,1,NA,2,2,2,NA,2,2,NA,NA,1,NA,28,30,1,NA,2,3,3,2,5,4,4,3,2,2,1,4,2,2,2,2,2,2,3,3,2,3,3,4,1,2,1,3,2,2,2,NA,NA,3,8,"Spain",NA,NA,2,3,3,4,3,3,2,3,4,4,2,3,3,3,3,4,3,3,3,3,4,3,4,4,3,3,2,3,2,2,8,4,1,2,3,3,3,NA,NA,NA,NA,1,NA,NA,2,4,1,1,2,NA,3,NA,NA,NA,1,3,2,1,5,4,NA,NA,3,2,4,1,NA,NA,4,3,3,4,2,2,2,3,2,3,2,3,3,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,2,4,2,3,2,2,2,2,2,3,3,9,NA,3,3,3,4,3,4,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,2,3,3,3,4,1,2,3,3,4,4,3,NA,NA,NA,NA,2,2,1,2,2,4,2,4,1,2,3,4,1,8,8,7,20,65,174,0.902703674422483
